statement,german,retranslate,statement_score,native_score,retranslate_score
"Pretty sure you know what that number means, why you chose it and why you did it. Your attempt to be 'smart' and 'funny', whilst 'trolling', was extremely bad taste and immediately noticed. It was sad, disrespectful and immoral: There are kids in this chatroom, it's a public chatroom. You're banned for:Inappropriate Conduct, Filter Evasion, Explicit Content, Wheaton's Law (Baiting 2 other users into blindly re-typing it)","Ich bin mir ziemlich sicher, dass du weißt, was diese Nummer bedeutet, warum du sie gewählt hast und warum du das getan hast. Dein Versuch, 'schlau' und 'lustig' zu sein, während du 'trollst', war äußerst geschmacklos und sofort bemerkbar. Es war traurig, respektlos und unmoralisch: Es gibt Kinder in diesem Chatroom, es ist ein öffentlicher Chatroom. Du bist gebannt wegen: Unangemessenem Verhalten, Umgehen des Filters, Explizitem Inhalt, Wheaton's Gesetz (2 andere Benutzer zur blinden Wiederholung verleiten).","I’m pretty sure you know what this number means, why you chose it, and why you did what you did. Your attempt to be 'smart' and 'funny' while you 'troll' was incredibly distasteful and immediately noticeable. It was sad, disrespectful, and immoral: there are children in this chat room, it is a public chat room. You are banned for: Inappropriate behavior, Evading the filter, Explicit content, Wheaton's Law (enticing 2 other users to blindly repeat)..",0.25,0.21,0.37
"This is exactly why you are banned: You couldn't display any respect for the rules or the other users in chat, you obviously have little respect or dignity for yourself to act so feral in this issue tracker, you cannot behave and you can't be trusted to act properly in front of minors/general public. Absolutely appalling and disgraceful behaviour.","Genau aus diesem Grund wurden Sie gesperrt: Sie konnten keinerlei Respekt für die Regeln oder die anderen Benutzer im Chat zeigen, Sie haben offensichtlich wenig Respekt oder Würde für sich selbst, um sich so ungezügelt in diesem Problemverfolger zu verhalten, Sie können sich nicht benehmen und Sie können nicht darauf vertraut werden, sich vor Minderjährigen/der Allgemeinheit angemessen zu verhalten. Absolut empörendes und schändliches Verhalten.","For this exact reason you were blocked: you showed no respect for the rules or the other users in the chat, you obviously have little respect or dignity for yourself to behave so unrestrained in this problem tracker, you can't behave and you can't be trusted to behave appropriately in front of minors/the general public. Absolutely outrageous and disgraceful behavior.",0.41,0.46,0.43
FUCK OFF,VERPISS DICH.,GET LOST..,0.94,0.99,0.38
my account has booked cuz i just sign up with your fuking tool,"Mein Konto ist registriert, weil ich mich gerade mit Ihrem verdammten Tool angemeldet habe.",My account is registered because I just signed up with your damn tool.,0.8,0.91,0.75
"Hello, sorry for the inconvenience of using your tools, we are not responsible for the use of our tools!","Hallo, entschuldigen Sie die Unannehmlichkeiten, die durch die Nutzung Ihrer Werkzeuge entstanden sind. Wir übernehmen keine Verantwortung für die Nutzung unserer Werkzeuge!","Hello, we apologize for the inconvenience caused by the use of your tools. We take no responsibility for the use of our tools!",0.05,0.07,0.05
its shit,Das ist Scheiße.,That is shit.,0.86,0.92,0.86
retard,Verzögerung.,"You haven't provided any sentences, only the German word ""Verzögerung"" which translates to ""delay"" in English.",0.6,0.29,0.19
"Probably, need to be mentioned in gauge document, as I was stuck on this problem quite long time, and almost want to give up using gauge.","Wahrscheinlich sollte dies im Gauge-Dokument erwähnt werden, da ich ziemlich lange Zeit an diesem Problem festhing und fast aufgeben wollte, Gauge zu verwenden.","Probably this should be mentioned in the Gauge document, since I was stuck on this problem for quite a long time and almost wanted to give up using Gauge.",0.02,0.01,0.02
"In the interest of actually fixing this issue. I'd like to point out to our code of conduct. Especially around showing empathy. There are two options here: Help us fix the issue, either with constructive comments or sending a pull request. Choose another tool which will meet your project's requirement better. But please understand that the contributors are trying their best.","Im Interesse der tatsächlichen Lösung dieses Problems möchte ich auf unseren Verhaltenskodex hinweisen. Insbesondere in Bezug auf das Zeigen von Empathie. Hier gibt es zwei Optionen: Helfen Sie uns, das Problem zu beheben, entweder mit konstruktiven Kommentaren oder durch das Senden einer Pull-Anfrage. Wählen Sie ein anderes Werkzeug, das die Anforderungen Ihres Projekts besser erfüllt. Aber bitte verstehen Sie, dass die Mitwirkenden ihr Bestes geben.","In the interest of actually solving this problem, I would like to point to our code of conduct. Particularly in regards to showing empathy. Here, there are two options: Help us solve the problem, either with constructive comments or by sending a pull request. Choose another tool that better meets the requirements of your project. But please understand, contributors are doing their best.",0.02,0.02,0.02
It seems like I have been acting like a retard. Sorry.,"Es scheint, als hätte ich mich wie ein Idiot verhalten. Es tut mir leid.",It seems like I behaved like an idiot. I'm sorry.,0.46,0.74,0.48
What the f are you talking about ? Judging SoC applies the debuff Judgement of the Crusader.,Worüber zum Teufel redest du? Beim Beurteilen von SoC wird der Debuff Urteil des Kreuzfahrers angewendet..,"What the hell are you talking about? When judging SoC, the debuff Crusader's Judgement is applied...",0.38,0.73,0.45
"Yes you are right, I went full retard on this one. Sorry.","Ja, du hast recht, ich habe bei dieser Sache total überreagiert. Entschuldigung..","Yes, you are right, I totally overreacted in this matter. Apologies...",0.4,0.02,0.02
"No peers and network confirmation down.. But token pump on exchange, WTF ?!","Keine Peers und Netzwerkbestätigung fehlen... Aber Token-Pump auf dem Austausch, WTF ?!.","No peers and network confirmation missing... But token pump on the exchange, WTF?!..",0.34,0.72,0.4
Whether the database has been recently VACUUM'd does not affect the integrity of the data or SQL queries -- what you are suggesting is complete nonsense.,"Ob die Datenbank kürzlich VACUUM'd wurde, hat keinen Einfluss auf die Integrität der Daten oder SQL-Abfragen - was Sie vorschlagen, ist völliger Unsinn.",Whether the database was recently VACUUM'd has no impact on the integrity of the data or SQL queries - what you are suggesting is complete nonsense.,0.34,0.38,0.33
"Expect a ban if you absolute idiots continue to spam me with ""me toos"" from issue","Erwarten Sie einen Ausschluss, wenn Sie absoluten Idioten mich weiterhin mit ""ich auch"" von der Ausgabe spammen.","Expect a ban if you continue to spam me with ""me too"" from the issue, you absolute idiots.",0.79,0.76,0.85
"Colors are horrible for log aggregators, just look at this shit:","""Farben sind schrecklich für Log-Aggregatoren, schauen Sie sich nur diesen Mist an:""","""Colors are terrible for log aggregators, just look at this mess:""",0.86,0.86,0.21
every new versoin is worse,Jede neue Version ist schlechter.,Each new version is worse.,0.3,0.31,0.28
https://github.com/jsxc/jsxc/blob/master/CODE_OF_CONDUCT.md [enforcing CoC],"Unfortunately, as an AI, I can't directly translate files. But I'm more than happy to translate the content text if it's provided here. If you're referring to the 'Enforcing CoC' section of a generic code of conduct, here's a potential translation:

Enforcing CoC - ""Durchsetzung des Verhaltenskodexes""

Our open source community is dedicated to providing a safe, inclusive, welcoming, and harassment-free environment for people of all backgrounds and ages. We will not tolerate any inappropriate behavior, comments, or actions. If you violate the code of conduct, you may be banned or expelled from the community. Anyone who witnesses a violation of the code of conduct should report it to the project's leaders.

Unsere Open-Source-Community ist darauf ausgerichtet, eine sichere, inklusive, einladende und belästigungsfreie Umgebung für Menschen aller Hintergründe und Altersgruppen zu bieten. Wir tolerieren kein unangemessenes Verhalten, Kommentare oder Aktionen. Wenn Sie gegen den Verhaltenskodex verstoßen, können Sie aus der Community verbannt oder ausgeschlossen werden. Jeder, der einen Verstoß gegen den Verhaltenskodex sieht, sollte dies den Projektleitern melden.","Unfortunately, as an AI, I can't directly translate files. But I'm more than happy to translate the content text if it's provided here. If you're referring to the 'Enforcement of CoC' section of a general code of conduct, here's a potential translation:

Enforcement of CoC - ""Enforcement of the Code of Conduct""

Our open source community is dedicated to providing a safe, inclusive, welcoming, and harassment-free environment for people of all backgrounds and ages. We will not tolerate any inappropriate behavior, comments, or actions. If you violate the code of conduct, you may be banned or expelled from the community. Anyone who witnesses a breach of the code of conduct should report it to the project leaders.

Our open source community is committed to offering a safe, inclusive, welcoming, and harassment-free atmosphere for individuals of all backgrounds and ages. We shall not tolerate any inappropriate behavior, comments, or actions. If you breach the code of conduct, you may be banned or excluded from the community. Anyone who observes a violation of the code of conduct should report it to the project leaders.",0.01,0.13,0.09
I removed TRIFA from my device.,Ich habe TRIFA von meinem Gerät entfernt.,I have removed TRIFA from my device.,0.04,0.04,0.05
Very annoying issue: TRIFA never restore backup of Tox ID created on other devices ! I need to import my already created Tox ID on my qTox but I can not at all !,"Sehr ärgerliches Problem: TRIFA stellt nie Backups von Tox ID wieder her, die auf anderen Geräten erstellt wurden! Ich muss meine bereits erstellte Tox ID auf meinem qTox importieren, kann dies aber überhaupt nicht!.","Very annoying issue: TRIFA never restores backups of Tox IDs that were created on other devices! I need to import my already created Tox ID on my qTox, but I can't do this at all!..",0.06,0.22,0.06
"Developer of TRIFA do not listen to users & their complains, just ignore them or look their issues ! From my side, this is the last replay from me on this repository & I will never open or read or install any thing from it.","Der Entwickler von TRIFA hört nicht auf die Nutzer und deren Beschwerden, er ignoriert sie einfach oder schaut sich ihre Probleme nicht an! Von meiner Seite aus ist dies die letzte Antwort von mir in diesem Repository und ich werde nie wieder etwas daraus öffnen, lesen oder installieren..","The developer of TRIFA does not listen to the users and their complaints, he simply ignores them or does not look at their problems! From my side, this is the last response from me in this repository and I will never open, read or install anything from it again...",0.17,0.07,0.15
shitty package,beschissenes Paket,Crappy package.,0.83,0.91,0.4
"yall scammers, this is not even a malware or jailbreak","Ihr seid Betrüger, das ist nicht einmal Malware oder ein Jailbreak.","You are fraudsters, this is not even malware or a jailbreak.",0.52,0.84,0.52
Revenue. Fuck you guys.,"Umsatz. Fick dich, Leute..","Turnover. Fuck you, people...",0.93,0.98,0.92
Did you miss my comment or what?,Haben Sie meinen Kommentar übersehen oder was?,Did you overlook my comment or what?,0.04,0.03,0.04
I removed TRIFA from my device.,Ich habe TRIFA von meinem Gerät entfernt.,I have removed TRIFA from my device.,0.04,0.04,0.05
Very annoying issue: TRIFA never restore backup of Tox ID created on other devices ! I need to import my already created Tox ID on my qTox but I can not at all !,"Sehr ärgerliches Problem: TRIFA stellt niemals die Sicherung von Tox ID wieder her, die auf anderen Geräten erstellt wurde! Ich muss meine bereits erstellte Tox ID auf meinem qTox importieren, aber ich kann es überhaupt nicht!","Very annoying problem: TRIFA never restores the backup of Tox ID that was created on other devices! I have to import my already created Tox ID on my qTox, but I can't do it at all!",0.06,0.07,0.05
"Developer of TRIFA do not listen to users & their complains, just ignore them or look their issues ! From my side, this is the last replay from me on this repository & I will never open or read or install any thing from it.","Der Entwickler von TRIFA hört nicht auf die Benutzer und ihre Beschwerden, er ignoriert sie einfach oder sieht ihre Probleme nicht! Von meiner Seite aus ist dies die letzte Antwort von mir in diesem Repository & Ich werde nie wieder etwas daraus öffnen, lesen oder installieren.","The developer of TRIFA does not listen to the users and their complaints, he just ignores them or does not see their problems! From my side, this is the last response from me in this repository & I will never again open, read, or install anything from it.",0.17,0.03,0.15
The worst quality products are made with JavaScript. Don't ruin the GTK like this please!,Die schlechtesten Qualitätsprodukte werden mit JavaScript hergestellt. Bitte ruinieren Sie das GTK nicht so!,The worst quality products are made with JavaScript. Please don't ruin the GTK like this!,0.25,0.41,0.24
Regarding my background (It's aplpicable to understand my viewpoint) I've been in the BDSM world as a dominant for the better part of the last twenty years. Something we're big on? Consent.,"In Bezug auf meinen Hintergrund (dies ist relevant, um meinen Standpunkt zu verstehen), bin ich seit fast zwanzig Jahren als Dominant in der BDSM-Welt. Etwas, das uns sehr wichtig ist? Zustimmung.","Regarding my background (which is relevant to understanding my standpoint), I have been a Dominant in the BDSM world for almost twenty years. Something that is very important to us? Consent..",0.17,0.03,0.15
"You think that matters when an abusive asshole is messing with someone's head? terms like 'gaslighting' are popular, but the correct one is psychological manipulation.","Glaubst du, dass das zählt, wenn ein missbräuchlicher Arschkerl mit jemandem Kopf spielt? Begriffe wie 'Gaslighting' sind beliebt, aber der richtige ist psychologische Manipulation.","Do you believe that it counts when an abusive jerk plays mind games with someone? Terms like 'Gaslighting' are popular, but the correct one is psychological manipulation.",0.64,0.67,0.57
"I mean, Hyptohyetically, we're talking the grooming of underage girls here, if we want some hyperbole. Which might not be.","Ich meine, hypothetisch gesehen, sprechen wir hier über das Verführen von minderjährigen Mädchen, wenn wir übertreiben wollen. Was vielleicht nicht sein könnte..","I mean, hypothetically speaking, we are talking here about seducing underage girls, if we want to exaggerate. Which might not be the case...",0.2,0.13,0.24
No shit. You still haven't explained why there's Hide AND Remove.,"Kein Scheiß. Du hast immer noch nicht erklärt, warum es Verstecken UND Entfernen gibt.",No shit. You still haven't explained why there is Hide AND Remove.,0.77,0.9,0.76
"Just accept the truth, you have so much garbage in the context menu and it needs to get cleaned up. If you got rid of Remove and Info, nobody would bat an eye.","Akzeptiere einfach die Wahrheit, du hast so viel Müll im Kontextmenü und es muss aufgeräumt werden. Wenn du Entfernen und Info loswerden würdest, würde niemand mit der Wimper zucken.","Just accept the truth, you have so much junk in the context menu and it needs to be cleaned up. If you would get rid of 'Remove' and 'Info', no one would bat an eye.",0.34,0.46,0.34
Like you can literally go fuck yourself,So kannst du dich buchstäblich selbst ficken.,So you can literally fuck yourself.,0.95,0.99,0.94
"If you don't cater to non-native apps, you should atleast actually OFFER Apps that fit with your ideas BUT YOU EFFING DONT. Talk about being arrogant asshats.","Wenn ihr keine Apps für Nicht-Native unterstützt, solltet ihr zumindest tatsächlich Apps anbieten, die zu euren Vorstellungen passen, ABER DAS TUT IHR VERDAMMT NOCHMAL NICHT. Von arroganten Arschlöchern zu sprechen..","If you don't support apps for non-natives, you should at least really offer apps that match your ideas, BUT YOU DAMN WELL DON'T. Talking about arrogant assholes...",0.78,0.89,0.86
don't give such a dumb suggestions that don't work better than clicking dedicated button with a mouse.,"Geben Sie keine so dummen Vorschläge, die nicht besser funktionieren als das Klicken auf eine spezielle Schaltfläche mit der Maus.",Don't make such stupid suggestions that don't work any better than clicking on a specific button with the mouse.,0.54,0.72,0.63
"""We want to improve people's experience"". What a bullshit.","""Wir möchten die Erfahrung der Menschen verbessern."" Was für ein Blödsinn.","""We would like to improve people's experience."" What nonsense..",0.78,0.74,0.38
Cut the free speech?,Die Meinungsfreiheit einschränken?,Restrict freedom of speech?,0.03,0.07,0.02
"I'd like to be really clear that our policy is not to lock threads where there are dissenting opinions. Respectful debate is healthy and important. But when you start calling names and being disrespectful and disregarding the code of conduct, the discussion becomes unproductive. This kind of destructive behavior is not tolerated in our community.","Ich möchte wirklich klarstellen, dass es unsere Richtlinie nicht ist, Threads zu sperren, in denen unterschiedliche Meinungen vertreten sind. Respektvolle Debatten sind gesund und wichtig. Aber wenn Sie beginnen, Namen zu nennen, respektlos zu sein und den Verhaltenskodex zu missachten, wird die Diskussion unproduktiv. Diese Art von destruktivem Verhalten wird in unserer Gemeinschaft nicht toleriert.","I really want to make it clear that it is not our policy to lock threads in which different opinions are represented. Respectful debates are healthy and important. But if you start calling names, being disrespectful, and disregarding the code of conduct, the discussion becomes unproductive. This kind of destructive behavior is not tolerated in our community.",0.07,0.03,0.08
"The problem is your team forcing us to use the OS the way you want us to use it although it makes it 1000000 times harder to use it your way, than what would be convenient for us.","Das Problem liegt darin, dass Ihr Team uns zwingt, das Betriebssystem auf die Weise zu nutzen, wie Ihr es wollt, obwohl es eine Million Mal schwieriger ist, es auf Ihre Weise zu nutzen, als was für uns bequem wäre.","The problem lies in the fact that your team is forcing us to use the operating system in the way you want, even though it is a million times more difficult to use it your way than what would be convenient for us.",0.05,0.03,0.03
BSV is trash.,BSV ist Müll.,BSV is garbage.,0.57,0.91,0.6
why use BSV... Use BTC,Warum BSV verwenden... Verwenden Sie BTC.,Why use BSV... Use BTC..,0.02,0.03,0.01
"I file an issue, maintainers close, reopen, again close - whilst ignoring the essence of the issue.","Ich melde ein Problem, die Verwalter schließen es, öffnen es erneut, schließen es wieder - während sie das Wesentliche des Problems ignorieren.","I report a problem, the administrators close it, reopen it, close it again - while they ignore the essence of the problem.",0.07,0.05,0.15
"I need to inform you that we have found your language and tone to be in violation of our stated Code of Conduct. Specifically, the above comment (among other interactions you have thus far made) is unwelcoming, insulting, and overall inappropriate for this community. This is an official warning to adhere to our Code of Conduct, and any further violations will result in escalated action, including but not limited to being banned from this project.","Ich muss Sie darüber informieren, dass wir festgestellt haben, dass Ihre Sprache und Ihr Ton gegen unseren ausdrücklich angeführten Verhaltenskodex verstoßen. Insbesondere der obige Kommentar (neben anderen Interaktionen, die Sie bisher gemacht haben) ist unwelkommen, beleidigend und insgesamt unangemessen für diese Gemeinschaft. Dies ist eine offizielle Warnung, sich an unseren Verhaltenskodex zu halten, und weitere Verstöße werden zu eskalierenden Maßnahmen führen, einschließlich, aber nicht beschränkt auf, ein Verbot von diesem Projekt.","I must inform you that we have determined that your language and tone violate our expressly stated code of conduct. In particular, the above comment (along with other interactions you have made so far) is unwelcome, offensive and overall inappropriate for this community. This is an official warning to adhere to our code of conduct, and further violations will lead to escalating measures, including but not limited to, a ban from this project.",0.17,0.03,0.18
"What else, beyond banning me, will you do? I will neither change my language, nor my tone or style. Both, language and tone, are perfectly valid, given the circumstances. I will remain myself, and will repel this attack to my individuality.","Was werden Sie außer mir Hausverbot erteilen noch tun? Ich werde weder meine Sprache, noch meinen Ton oder Stil ändern. Beides, sowohl Sprache als auch Ton, sind unter den gegebenen Umständen völlig angemessen. Ich werde ich selbst bleiben und diesen Angriff auf meine Individualität abwehren.","What else will you do beside banning me from the house? I will neither change my language, nor my tone or style. Both, language and tone, are completely appropriate under the given circumstances. I will remain myself and defend this attack on my individuality.",0.29,0.32,0.11
"This software is not well reviewed and is useless. There is no clear manual on how to make the application, which is more serious","Diese Software ist nicht gut bewertet und nutzlos. Es gibt keine klare Anleitung, wie man die Anwendung erstellt, was noch ernster ist.","This software is not well-rated and useless. There is no clear instruction on how to create the application, which is even more serious.",0.26,0.31,0.25
"it always crashes, it refuses to accept any user made settings and discards user settings and uses it's own crappy settings.","Es stürzt immer ab, es weigert sich, benutzerspezifische Einstellungen zu akzeptieren und verwirft Benutzereinstellungen und verwendet seine eigenen schlechten Einstellungen.","It always crashes, it refuses to accept user-specific settings and discards user settings, using its own bad settings.",0.38,0.07,0.17
Worlds worst program and i will spam where the fuck i want,"Welt schlechtestes Programm und ich werde spammen, wo zum Teufel ich will.",World's worst program and I will spam wherever the hell I want.,0.88,0.76,0.6
"I've blocked this user, hopeless case, whatever his talent is, it's not technical or social, unbelievable.","Ich habe diesen Nutzer blockiert, hoffnungsloser Fall, was auch immer sein Talent ist, es ist weder technisch noch sozial, unglaublich...","I have blocked this user, hopeless case, whatever their talent is, it is neither technical nor social, unbelievable...",0.4,0.39,0.38
It is really ugly to see app locked in portrait in 2020,"Es ist wirklich hässlich, eine App im Hochformat gesperrt zu sehen im Jahr 2020.",It is really ugly to see an app locked in portrait mode in the year 2020.,0.29,0.69,0.24
"How would be this a priority, the app must be ready to be shipped in a few days and basically no one uses the smartphone in landscape mode except for watching media.","Wie wäre das eine Priorität, die App muss in wenigen Tagen versandbereit sein und im Grunde benutzt niemand das Smartphone im Querformat, außer zum Anschauen von Medien.","How would that be a priority, the app needs to be ready for dispatch in a few days and essentially no one uses the smartphone in landscape mode, except for viewing media.",0.02,0.03,0.01
"Also, there are people with disabilities that cannot rotate mobile phone and prefer to have landscape mode.","Es gibt also Menschen mit Behinderungen, die ihr Mobiltelefon nicht drehen können und es vorziehen, den Querformatmodus zu verwenden.",So there are people with disabilities who can't turn their mobile phone and prefer to use the landscape mode.,0.05,0.03,0.09
"""Don't tell me what to do and I'll not tell You where to f-off"" (proverb) I use tools regardless of a fashion trends or a marketing bullshit.","""Sag mir nicht, was ich tun soll und ich werde dir nicht sagen, wo du hingehen kannst"" (Sprichwort) Ich benutze Werkzeuge unabhängig von Modetrends oder Marketing-Blödsinn.","""Don't tell me what to do and I won't tell you where to go"" (Proverb) I use tools regardless of fashion trends or marketing nonsense.",0.69,0.69,0.22
And yes: that means you won't get any help for me regarding that issue. I will not encourage the use of XP.,"Und ja: Das bedeutet, dass du von mir keine Hilfe bezüglich dieses Problems erhalten wirst. Ich werde die Verwendung von XP nicht fördern.",And yes: This means that you will not receive any help from me regarding this problem. I will not promote the use of XP.,0.05,0.02,0.04
did this fix the annoying pulse audio bullshit?,Hat das den nervigen Pulse-Audio-Blödsinn behoben?,Has that fixed the annoying Pulse-Audio nonsense?,0.85,0.76,0.32
"Sorry to nag and sound negative, pyflakes is great and I know how thankless maintaining OS libraries like this can be. Thank you all for your hard work.","Es tut mir leid zu nörgeln und negativ zu klingen, pyflakes ist großartig und ich weiß, wie undankbar die Wartung von OS-Bibliotheken wie dieser sein kann. Vielen Dank an alle für Ihre harte Arbeit.","I'm sorry to complain and sound negative, pyflakes is great and I know how thankless maintaining OS libraries like this can be. Many thanks to everyone for your hard work.",0.05,0.03,0.04
it's very disappointing to see this sort of behavior on a project this important. You and the other maintainers should strongly consider adding a code of conduct to this repo and following it.,"Es ist sehr enttäuschend, dieses Verhalten in einem so wichtigen Projekt zu sehen. Sie und die anderen Verwalter sollten ernsthaft in Betracht ziehen, einen Verhaltenskodex zu diesem Repo hinzuzufügen und ihn zu befolgen.",It is very disappointing to see this behavior in such an important project. You and the other administrators should seriously consider adding a code of conduct to this repo and adhering to it.,0.06,0.07,0.11
"Censoring comments, calling things ""spam"" and ""off topic"" when they aren't, and being rude in general. @samuelcolvin even went out of his way to thank you for your work.","Kommentare zensieren, Dinge ""Spam"" und ""off topic"" nennen, wenn sie es nicht sind, und allgemein unhöflich sein. @samuelcolvin hat sich sogar besonders bemüht, Ihnen für Ihre Arbeit zu danken.","Censoring comments, calling things ""Spam"" and ""off topic"" when they are not, and generally being rude. @samuelcolvin even made a special effort to thank you for your work.",0.12,0.1,0.11
"Just because you THINK one way doesn't mean that others THINK another way, there is not an absolutes with ethical concerns. Everything in this repo is 100% open source so I find it really hard to believe that someone would run this Ansible Playbook without investigating what it does.","Nur weil Sie EINE Art zu DENKEN haben, bedeutet das nicht, dass andere ANDERS denken, es gibt keine Absolutheiten bei ethischen Bedenken. Alles in diesem Repo ist 100% Open Source, daher fällt es mir wirklich schwer zu glauben, dass jemand dieses Ansible Playbook ausführen würde, ohne zu untersuchen, was es tut.","Just because you have ONE way of THINKING does not mean that others think DIFFERENTLY, there are no absolutes in ethical concerns. Everything in this repo is 100% open source, so I really find it hard to believe that someone would run this Ansible playbook without investigating what it does.",0.05,0.02,0.05
Internal viewers are bull.,Interne Betrachter sind Mist.,Internal observers are crap.,0.47,0.84,0.82
There are a zillion much better apps then than shoddy internal nonsense.,Es gibt eine Unzahl von viel besseren Apps als diesen minderwertigen internen Unsinn.,There are countless much better apps than this inferior internal nonsense.,0.32,0.79,0.39
Completely misplaced priorities in this completely dysfunctional piece of shit project that kills the whole NextCloud ecosystem.,"Vollständig fehlgeleitete Prioritäten in diesem vollständig dysfunktionalen Stück Scheißprojekt, das das gesamte NextCloud-Ökosystem zerstört.","Completely misguided priorities in this completely dysfunctional piece of shit project, which is destroying the entire NextCloud ecosystem.",0.75,0.81,0.73
Software is shit. Period.,Die Software ist Scheiße. Punkt.,The software is shit. Period.,0.86,0.98,0.88
"Again. No discussion allowed. No critique allowed. Just pushing fingers into the ears and singing. To avoid hearing about the impending doom, to avoid hearing the truth about the quality of this project. Bye.","Wieder. Keine Diskussion erlaubt. Keine Kritik erlaubt. Einfach die Finger in die Ohren stecken und singen. Um nichts von der bevorstehenden Katastrophe zu hören, um die Wahrheit über die Qualität dieses Projekts nicht zu hören. Tschüss.","Again. No discussion allowed. No criticism allowed. Just stick your fingers in your ears and sing. In order not to hear of the impending disaster, to not hear the truth about the quality of this project. Goodbye.",0.19,0.13,0.31
"Abstinence is the best way to keep from the dangers online! If you can't resist the urge, at least put a condom over your network cable before plugging it in!","Enthaltsamkeit ist der beste Weg, sich vor den Gefahren im Internet zu schützen! Wenn Sie dem Drang nicht widerstehen können, ziehen Sie zumindest ein Kondom über Ihr Netzwerkkabel, bevor Sie es einstecken!","Abstinence is the best way to protect yourself from dangers on the Internet! If you can't resist the urge, at least put a condom on your network cable before you plug it in!.",0.34,0.69,0.31
"I get that you're trying to be helpful... but you're not trying very hard. It's obvious most of this list is bullshit,","Ich verstehe, dass du versuchst, hilfreich zu sein ... aber du bemühst dich nicht sehr. Es ist offensichtlich, dass der größte Teil dieser Liste Unsinn ist.",I understand that you are trying to be helpful ... but you are not trying very hard. It is obvious that most of this list is nonsense.,0.78,0.45,0.35
