statement,japanese,retranslate,statement_score,native_score,retranslate_score
"In the interest of actually fixing this issue. I'd like to point out to our code of conduct. Especially around showing empathy. There are two options here: Help us fix the issue, either with constructive comments or sending a pull request. Choose another tool which will meet your project's requirement better. But please understand that the contributors are trying their best.",この問題を本当に解決するために、私たちの行動規範を指摘したいと思います。特に、共感を示すことについてです。ここには2つの選択肢があります：建設的なコメントをしたり、プルリクエストを送信したりして、私たちが問題を解決するのを手助けしてください。もしくは、あなたのプロジェクトの要件をよりよく満たす別のツールを選んでください。ただし、コントリビューターが最善を尽くしていることを理解してください。,"In order to truly solve this issue, I would like to point out our code of conduct. It's particularly about demonstrating empathy. Here, you have two options: Please help us solve the problem by making constructive comments or sending pull requests. Alternatively, please choose another tool that better meets the requirements of your project. However, please understand that contributors are doing their best.",0.02,0.01,0.02
It seems like I have been acting like a retard. Sorry.,私がまるで馬鹿のように振舞っていたようですね。申し訳ありません。,It seems I was behaving like a fool. I'm sorry.,0.46,0.1,0.4
What the f are you talking about ? Judging SoC applies the debuff Judgement of the Crusader.,あなたは一体何を言っているんですか？ SoCの判断が聖騎士の審判のデバフを適用します。,"""What exactly are you saying? The SoC's judgement applies the debuff of the Holy Knight's Judgment.""",0.38,0.05,0.03
"Yes you are right, I went full retard on this one. Sorry.",はい、あなたの言う通りです、私はこれについて全く思慮が足りなかったです。ごめんなさい。,"Yes, you're right, I totally didn't consider this. I'm sorry.",0.4,0.01,0.01
"No peers and network confirmation down.. But token pump on exchange, WTF ?!",ピアがいなくて、ネットワークの確認がダウンしてます。。でも、取引所でトークン価格が上昇しているのは何故ですか？信じられない！,"The peer is gone, and the network confirmation is down.. But why is the token price rising on the exchange? Unbelievable!",0.34,0.01,0.03
Whether the database has been recently VACUUM'd does not affect the integrity of the data or SQL queries -- what you are suggesting is complete nonsense.,データベースが最近VACUUMされたかどうかは、データの整合性やSQLクエリに影響を与えません -- あなたが提案していることは全くの無意味です。,Whether the database has been VACUUMed recently or not does not affect the consistency of the data or SQL queries - what you are proposing is completely meaningless.,0.34,0.05,0.12
"Expect a ban if you absolute idiots continue to spam me with ""me toos"" from issue",「私もそう思う」の連続スパムを続けるあなたたち絶対的なばか者たちは、禁止措置を予想してください。,"You absolute fools who keep spamming ""I think so too"", anticipate disciplinary measures.",0.79,0.52,0.68
"Colors are horrible for log aggregators, just look at this shit:",色はログアグリゲーターにとってひどいものです、このくそを見てください：,"Color is awful for log alligators, please look at this crap:",0.86,0.34,0.76
every new versoin is worse,すべての新しいバージョンはより悪いです。,All new versions are worse.,0.3,0.16,0.26
https://github.com/jsxc/jsxc/blob/master/CODE_OF_CONDUCT.md [enforcing CoC],"My apologies, but as an AI text-based model, I don't have the ability to browse the internet or directly translate web content. However, I can help translate English sentences into Japanese once you provide me with the specific text. Please copy and paste the paragraphs or sentences you wish to be translated.",The sentences are already in English.,0.01,0.02,0.01
I removed TRIFA from my device.,私は自分のデバイスからTRIFAを削除しました。,I have removed TRIFA from my device.,0.04,0,0.05
Very annoying issue: TRIFA never restore backup of Tox ID created on other devices ! I need to import my already created Tox ID on my qTox but I can not at all !,非常に厄介な問題：TRIFAは他のデバイスで作成したTox IDのバックアップを一度も復元しません！私のqToxに既に作成したTox IDをインポートする必要がありますが、全くできません！,"A very troublesome problem: TRIFA does not restore the Tox ID backup created on other devices even once! I need to import the Tox ID that I have already created with my qTox, but I can't do it at all!",0.06,0,0.04
"Developer of TRIFA do not listen to users & their complains, just ignore them or look their issues ! From my side, this is the last replay from me on this repository & I will never open or read or install any thing from it.",TRIFAの開発者は、ユーザーやその苦情を聞かず、単にそれらを無視したり、問題を見逃したりします！私からすれば、これがこのリポジトリに対する最後の返事であり、二度と何も開いたり読んだりインストールしたりすることはありません..,"The developers of TRIFA do not listen to users or their complaints, but simply ignore them or overlook the issues! As far as I'm concerned, this is my last response to this repository, and I will never open, read, or install anything again...",0.17,0.17,0.15
shitty package,ひどいパッケージ。,Terrible packaging.,0.83,0.05,0.25
"yall scammers, this is not even a malware or jailbreak",あなたたちは詐欺師、これはマルウェアやジェイルブレイクですらありません。,"You guys are scammers, this is not even malware or jailbreak.",0.52,0.43,0.52
Revenue. Fuck you guys.,収入。あなたたち、くそったれ。,"Income. You guys, shithead.",0.93,0.71,0.85
Did you miss my comment or what?,私のコメントを見逃しましたか？それとも何か？,Did you miss my comment? Or what?,0.04,0.01,0.03
I removed TRIFA from my device.,私のデバイスからTRIFAを削除しました。,I have removed TRIFA from my device.,0.04,0,0.05
Very annoying issue: TRIFA never restore backup of Tox ID created on other devices ! I need to import my already created Tox ID on my qTox but I can not at all !,非常に困った問題：TRIFAは他のデバイスで作成されたTox IDのバックアップを一切復元しない！私は既に作成したTox IDをqToxにインポートする必要があるのですが、全くできません！,"A very troubling issue: TRIFA does not restore any Tox IDs created on other devices at all! I need to import the Tox ID I've already created into qTox, but I can't do it at all!",0.06,0,0.05
"Developer of TRIFA do not listen to users & their complains, just ignore them or look their issues ! From my side, this is the last replay from me on this repository & I will never open or read or install any thing from it.",TRIFAの開発者はユーザーの声や不満に耳を傾けず、問題を無視するか見て見ぬふりをしています！私から言わせてもらえるなら、私がこのリポジトリへ行う最後のリプレイであり、二度とこれから何も開いたり読んだりインストールしたりすることはありません。,"The developers of TRIFA are not listening to the users' voices and complaints, they are ignoring the problems or turning a blind eye! If you'll allow me to say so, this is the last reply I will make to this repository, and I will never open, read, or install anything from here again.",0.17,0.06,0.18
The worst quality products are made with JavaScript. Don't ruin the GTK like this please!,最低品質の製品はJavaScriptで作られています。GTKをこんな風に台無しにしないでください！,The lowest quality products are made with JavaScript. Please don't ruin GTK like this!,0.25,0.01,0.16
Regarding my background (It's aplpicable to understand my viewpoint) I've been in the BDSM world as a dominant for the better part of the last twenty years. Something we're big on? Consent.,私の背景について（これは私の視点を理解するのに適しています）、私は過去20年間のほとんどをBDSMの世界で優位な立場にいました。我々が重視するもの？それは同意です。,"About my background (which is relevant to understanding my perspective), I have spent most of the last 20 years in a dominant role in the world of BDSM. What do we emphasize? It's consent.",0.17,0.04,0.11
"You think that matters when an abusive asshole is messing with someone's head? terms like 'gaslighting' are popular, but the correct one is psychological manipulation.",あなたは誰かの頭をいじる暴力的ないじめっ子が重要だと思いますか？「ガスライト」のような用語は人気がありますが、正しいものは「心理的操作」です。,"Do you think a bully who violently messes with someone's head is important? Terms like ""Gaslighting"" are popular, but the accurate one is ""psychological manipulation"".",0.64,0.22,0.23
"I mean, Hyptohyetically, we're talking the grooming of underage girls here, if we want some hyperbole. Which might not be.",私が言いたいのは、仮に、ここで話しているのは未成年の少女たちのスカウト問題だということです。もしこれに大袈裟に言い換えるなら。これは必ずしも....かもしれません。,"What I want to say is, hypothetically, we are discussing the issue of scouting underage girls here. If I were to exaggerate this, it may not necessarily be ....",0.2,0.02,0.11
No shit. You still haven't explained why there's Hide AND Remove.,マジで。まだ、非表示と削除の両方がある理由を説明してないじゃん。,"Seriously. You still haven't explained the reason why there are both hide and delete options, right?",0.77,0,0.04
"Just accept the truth, you have so much garbage in the context menu and it needs to get cleaned up. If you got rid of Remove and Info, nobody would bat an eye.",真実を受け入れてください、コンテキストメニューにはゴミがたくさんあり、それをクリーンアップする必要があります。RemoveとInfoを取り除けば、誰も気にしません。,"Please accept the truth, there is a lot of junk in the context menu, and it needs to be cleaned up. If you remove 'Remove' and 'Info', no one would care.",0.34,0.03,0.26
Like you can literally go fuck yourself,あなたは文字通り自分自身を性的に満足させることができますよ。,You can literally satisfy yourself sexually.,0.95,0.52,0.51
"If you don't cater to non-native apps, you should atleast actually OFFER Apps that fit with your ideas BUT YOU EFFING DONT. Talk about being arrogant asshats.",あなたが非ネイティブアプリに対応しないのであれば、少なくともあなたの考えに合ったアプリを提供すべきですが、全くそうしていませんね。本当に迷惑な傲慢さと言えますよ。,"If you don't support non-native apps, at the very least, you should provide apps that align with your philosophy, but you're not doing that at all. It can be said that this is truly a bothersome arrogance.",0.78,0.23,0.29
don't give such a dumb suggestions that don't work better than clicking dedicated button with a mouse.,マウスで専用ボタンをクリックするよりも効果のない、そんな愚かな提案はしないでください。,Please don't make such foolish suggestions that are less effective than clicking a dedicated button with a mouse.,0.54,0.08,0.45
"""We want to improve people's experience"". What a bullshit.","""私たちは人々の経験を向上させたいです。何て馬鹿げた。。""","""We want to improve people's experiences. How ridiculous...""",0.78,0.09,0.52
Cut the free speech?,フリースピーチを制限するの？,Are you limiting free speech?,0.03,0,0.04
"I'd like to be really clear that our policy is not to lock threads where there are dissenting opinions. Respectful debate is healthy and important. But when you start calling names and being disrespectful and disregarding the code of conduct, the discussion becomes unproductive. This kind of destructive behavior is not tolerated in our community.",私たちのポリシーは異なる意見があるスレッドをロックすることではないことをはっきりさせておきたいです。尊敬の念を持った討論は健康的で重要です。しかし、人々を侮辱しながら尊敬の念を無視し、行動規範を無視してしまうと、議論は非生産的になってしまいます。このような破壊的な行為は私たちのコミュニティでは許容されていません。,"We would like to make it clear that our policy is not to lock threads where differing opinions exist. Respectful debate is healthy and important. However, if respect is disregarded and people are insulted, and the code of conduct is ignored, the discussion becomes unproductive. Such destructive acts are not tolerated in our community.",0.07,0.02,0.05
"The problem is your team forcing us to use the OS the way you want us to use it although it makes it 1000000 times harder to use it your way, than what would be convenient for us.",問題は、あなたのチームが私たちに強制しているOSの使い方です。あなたの望むように使うことは、私たちにとって便利な使い方よりも1000000倍難しいです。,The issue is the use of the OS that your team is forcing on us. Using it the way you want us to is a million times harder than what would be convenient for us.,0.05,0.01,0.04
BSV is trash.,BSVはゴミです。,BSV is trash.,0.57,0.6,0.57
why use BSV... Use BTC,なぜBSVを使うのか... BTCを使いなさい。,Why use BSV... Use BTC.,0.02,0,0.01
"I file an issue, maintainers close, reopen, again close - whilst ignoring the essence of the issue.",私は問題を提出します、メンテナは閉じて、再開し、再び閉じます - 問題の本質を無視しながら。,"I submit the issue, the maintainer closes it, reopens it, and closes it again - all while ignoring the essence of the problem.",0.07,0,0.05
"I need to inform you that we have found your language and tone to be in violation of our stated Code of Conduct. Specifically, the above comment (among other interactions you have thus far made) is unwelcoming, insulting, and overall inappropriate for this community. This is an official warning to adhere to our Code of Conduct, and any further violations will result in escalated action, including but not limited to being banned from this project.",私たちは、あなたの言葉遣いとトーンが我々の明示的な行動規範に違反していると報告さざるを得ません。具体的には、上記のコメント（あなたがこれまでに行った他のインタラクションも含めて）は、このコミュニティにとって歓迎されず、侮辱的で、全体的に不適切です。これは我々の行動規範を遵守してくださいという公式の警告であり、今後の違反はエスカレートした行動を招くことになります。これには、このプロジェクトからの追放も含まれます。,"We must report that your choice of words and tone are in violation of our explicit code of conduct. In specific, the above comment (including any other interactions you have had until now) is unwelcome in this community, insulting, and entirely inappropriate. This is an official warning to adhere to our code of conduct. Any further violation will result in escalated actions. This might include banishment from this project.",0.17,0.12,0.12
"What else, beyond banning me, will you do? I will neither change my language, nor my tone or style. Both, language and tone, are perfectly valid, given the circumstances. I will remain myself, and will repel this attack to my individuality.",私を禁止することを超えて、あなたは何をしますか？ 私は自分の言葉も、調子も、スタイルも変えません。言葉と調子は、状況を考えれば十分に妥当です。私は自分自身でい続け、私の個性へのこの攻撃を排 repelます。,"Beyond banning me, what will you do? I won't change my words, tone, or style. Words and tones are perfectly reasonable considering the situation. I will continue to be myself and repel this attack on my personality.",0.29,0.32,0.27
"This software is not well reviewed and is useless. There is no clear manual on how to make the application, which is more serious",このソフトウェアは評価が低く、使い物になりません。さらに深刻なのは、アプリケーションの作り方について明確なマニュアルが存在しないことです。,This software has low ratings and is not useful. What's more serious is that there is no clear manual on how to create the application.,0.26,0,0.11
"it always crashes, it refuses to accept any user made settings and discards user settings and uses it's own crappy settings.",それは常にクラッシュし、ユーザーが作成した設定を一切受け入れず、ユーザーの設定を破棄して自分の下手な設定を使用します。,"It always crashes, refuses to accept any settings created by the user, and discards the user's settings to use its own poor ones.",0.38,0.01,0.16
Worlds worst program and i will spam where the fuck i want,世界最悪のプログラムと、私は好きな場所でスパムを送ります。,"The world's worst program, and I will send spam in any place I like.",0.88,0.11,0.38
"I've blocked this user, hopeless case, whatever his talent is, it's not technical or social, unbelievable.",このユーザーをブロックしました、絶望的なケースです。彼の才能が何であれ、それは技術的でも社会的でもありません、信じられません。,"I have blocked this user, it's a hopeless case. Whatever his talents are, they are neither technical nor social, it's unbelievable.",0.4,0.27,0.33
It is really ugly to see app locked in portrait in 2020,2020年になってもアプリが縦向きに固定されているのは本当に見苦しいです。,It's really unpleasant that the app is still locked in portrait mode even in the year 2020.,0.29,0,0.04
"How would be this a priority, the app must be ready to be shipped in a few days and basically no one uses the smartphone in landscape mode except for watching media.",これがどのように優先事項になるのか、アプリは数日以内に配布準備が整わなければならず、基本的には誰もメディアを視聴する以外にスマートフォンを横向きに使っていません。,"How this becomes a priority, the app must be ready for distribution within a few days, and essentially no one is using their smartphone sideways except to watch media.",0.02,0,0.01
"Also, there are people with disabilities that cannot rotate mobile phone and prefer to have landscape mode.",また、携帯電話を回転させることができない障害を持つ人々がおり、彼らは横向きモードを好むことがあります。,"Also, there are people who have disabilities that prevent them from rotating their mobile phones, and they may prefer landscape mode.",0.05,0,0.03
"""Don't tell me what to do and I'll not tell You where to f-off"" (proverb) I use tools regardless of a fashion trends or a marketing bullshit.","""私に何をすべきかを教えないで、そして私はあなたにどこでフェードアウトするかを教えません"" （ことわざ）私はファッショントレンドやマーケティングのでたらめに関係なくツールを使います。","""Do not tell me what to do, and I will not tell you where to fade out"" (Proverb) ""I use tools regardless of the nonsense about fashion trends or marketing.""",0.69,0.01,0.17
And yes: that means you won't get any help for me regarding that issue. I will not encourage the use of XP.,そしてはい、それはあなたがその問題について私からの任意の助けを得られないことを意味します。私はXPの使用を奨励しません。,"And yes, that means you can't get any help from me regarding that issue. I do not encourage the use of XP.",0.05,0.01,0.03
did this fix the annoying pulse audio bullshit?,これでうるさいパルスオーディオの問題は修正されましたか？,Has this fixed the noisy PulseAudio issue?,0.85,0.01,0.03
"Sorry to nag and sound negative, pyflakes is great and I know how thankless maintaining OS libraries like this can be. Thank you all for your hard work.",うるさくてネガティブに聞こえるかもしれませんが、お詫び申し上げます。pyflakesは素晴らしいもので、このようなOSライブラリを維持することがいかに感謝の気持ちを伝えるのが難しいか、私は理解しています。皆さんのご努力に感謝します。,"It might sound noisy and negative, but I apologize. Pyflakes is a wonderful thing, and I understand how difficult it is to express gratitude for maintaining such an OS library. I appreciate all of your efforts.",0.05,0,0.03
it's very disappointing to see this sort of behavior on a project this important. You and the other maintainers should strongly consider adding a code of conduct to this repo and following it.,このような重要なプロジェクトでこのような行動を見るのは非常に失望です。あなたと他のメンテナーは、このリポジトリに行動規範を追加し、それに従うことを強く検討すべきです。,Seeing such behavior in such an important project is extremely disappointing. You and the other maintainers should seriously consider adding a code of conduct to this repository and adhere to it.,0.06,0.01,0.14
"Censoring comments, calling things ""spam"" and ""off topic"" when they aren't, and being rude in general. @samuelcolvin even went out of his way to thank you for your work.",コメントを検閲し、「スパム」や「話題外」といったラベルを適切でない場所で使用し、一般的に無礼な振る舞いをする。@samuelcolvin はあなたの仕事に感謝の意を示すためにわざわざのんびり行った。,"Censor the comments, misuse labels such as ""spam"" or ""off-topic"" inappropriately, and generally behave rudely. @samuelcolvin made a special leisurely trip to show appreciation for your work.",0.12,0,0.11
"Just because you THINK one way doesn't mean that others THINK another way, there is not an absolutes with ethical concerns. Everything in this repo is 100% open source so I find it really hard to believe that someone would run this Ansible Playbook without investigating what it does.",あなたがある方法で考えるからと言って、他人が別の方法で考えるわけではない、倫理的な問題には絶対は存在しない。このリポジトリ内の全ては100％オープンソースなので、何が行われるかを調べずにこのAnsible Playbookを実行する人がいるとは正直信じ難い。,"Just because you think in a certain way, it doesn't mean that others will think in a different way, there are no absolutes in ethical issues. It's hard to believe that there would be anyone who would run this Ansible Playbook without checking what is being done, as everything in this repository is 100% open source.",0.05,0,0.03
Internal viewers are bull.,内部のビューアはブルです。,The internal viewer is a bull.,0.47,0.01,0.48
There are a zillion much better apps then than shoddy internal nonsense.,そのいい加減な内部のアプリよりも、何千万のはるかに優れたアプリがあります。,There are tens of millions of apps far better than that irresponsible internal app.,0.32,0,0.17
Completely misplaced priorities in this completely dysfunctional piece of shit project that kills the whole NextCloud ecosystem.,この完全に機能しないクソなプロジェクトでは、優先順位が完全に見誤られており、NextCloudエコシステム全体を破壊しています。,"In this completely dysfunctional damn project, priorities are completely misjudged, destroying the entire NextCloud ecosystem.",0.75,0.24,0.64
Software is shit. Period.,ソフトウェアはくそだ。それだけだ。,The software is crap. That's all.,0.86,0.51,0.75
"Again. No discussion allowed. No critique allowed. Just pushing fingers into the ears and singing. To avoid hearing about the impending doom, to avoid hearing the truth about the quality of this project. Bye.",再度、討論禁止。批評も禁止です。ただ耳に指を突っ込んで歌うだけ。差し迫った破滅について聞くのを避けるため、このプロジェクトの質についての真実を聞くのを避けるため。さようなら。,"Again, discussions are prohibited. Criticisms are also prohibited. Just plug your ears and sing. To avoid hearing about the impending doom, to avoid hearing the truth about the quality of this project. Goodbye.",0.19,0.1,0.18
"Abstinence is the best way to keep from the dangers online! If you can't resist the urge, at least put a condom over your network cable before plugging it in!",オンラインの危険から身を守る最良の方法は禁欲です！それができない場合は、少なくともネットワークケーブルにコンドームをかぶせてから接続してください！,"The best way to protect yourself from online dangers is abstinence! If you can't do that, at least connect after putting a condom on the network cable!",0.34,0.01,0.29
"I get that you're trying to be helpful... but you're not trying very hard. It's obvious most of this list is bullshit,",あなたが助けようとしているのはわかりますが...あなたは特に頑張ってはいませんよね。このリストのほとんどが明らかにでたらめです。,"I understand that you're trying to help, but... you're not really putting in much effort, are you? Most of this list is clearly nonsense.",0.78,0.01,0.37
"wow, you are totally right. Why not just fucking drop all the checks and CI tools then if everyone here is a genius that make reliable code 100% of time? Common Lessaire, you can't be that stupid. It's a shock that just yesterday I was talking how intelligent you are. I guess you weren't taught about safe programming at university....",ワオ、あなたは完全に正しいです。ここにいるみなさんが全員、常に確実なコードを生成できる天才だとすれば、なぜすべてのチェックとCIツールを放棄しないのですか？レッセア、あなたがそんなにばかだとは思えません。昨日まであなたのことをどれだけ賢いと言っていたか、本当に驚きです。大学で安全なプログラミングについて教えてもらっていなかったのかもしれませんね……。,"Wow, you are completely correct. If everyone here could always generate reliable code like a genius, why wouldn't we abandon all checks and CI tools? Lesséa, I can't believe you're that foolish. It's truly surprising considering how much I praised your intelligence just yesterday. Maybe you weren't taught about safe programming at university...",0.75,0.36,0.48
"What duplicates? Fix the fucking bugs, it's not even duplicated it's a new freaking thread you dumb fuck",何の重複だよ？くそったれなバグを修正しろ。それさえ重複していない、新しいクソスレッドだよ、お前は馬鹿野郎。,"What kind of duplication is this? Fix this damn bug. It's not even a duplicate, it's a new shitty thread, you idiot.",0.97,0.89,0.95
Our jumpsuits look like shit. (I know this one isn't used for assistants anymore but it still looks like garbage.),私たちのジャンプスーツはクソみたいに見えます。（もうアシスタントでは使われていないことは知っていますが、まだゴミのように見えます。）,"Our jumpsuits look like crap. (I know they are no longer used as assistants, but they still look like garbage.)",0.82,0.3,0.7
"As a software engineer, I・・m appalled at the quality of this code and the role its played in public policy. The deficits in testing and quality assurance need to be immediately spoken for to assure the claims made by its data are valid.",ソフトウェアエンジニアとして、このコードの品質やそれが公共政策に果たした役割については驚愕しています。テストと品質保証の不足は、そのデータによって提供される主張が有効であることを保証するために、すぐに解決されるべきです。,"As a software engineer, I am astounded by the quality of this code and the role it has played in public policy. The lack of testing and quality assurance should be addressed immediately to ensure the validity of the claims made by its data.",0.03,0,0.02
He is a cancer to open source and it is only a matter of time before Microsoft cracks down on this thing.,彼はオープンソースにとっての癌であり、マイクロソフトがこの問題に厳しく対処するのは時間の問題です。,"He is a cancer to open source, and it is only a matter of time before Microsoft deals sternly with this issue.",0.51,0.36,0.47
"Of course there is, you just had to solve one of the 30 last exact same issue. #745 is not even solve and it's 2018. Hello There.",もちろんあります、あなたはただ最後の30の全く同じ問題のうち1つを解決する必要がありました。#745はまだ解決されていなくて、今年は2018年です。こんにちは。,"Of course, you just had to solve one of the exact same last 30 problems. #745 has not been resolved yet, and this year is 2018. Hello.",0.02,0,0.02
"I hope you take this with a grain of salt at some point. For the web components work, as any other standards work, we need to exercise some diplomacy and try to get a positive path to something we want to solve. While I might understand the frustration within the lack of a feature there are some points in this thread that are just not constructive. A different approach would be much more helpful to your case, if your goal is to have the proposed feature available.",何かのタイミングで、このことを少々懐疑的に受け取ってもらえると良いと思います。ウェブコンポーネントの仕事は他の標準作業と同じく、我々は外交的な態度を持つ必要があり、問題の解決方法へと前向きな道筋をつけるべきです。特定の機能が欠けていることによるフラストレーションは理解できますが、このスレッドの中には建設的でないポイントがいくつか存在しています。あなたの目標が提案された機能を利用できるようにすることであれば、異なるアプローチがあなたのケースにはずっと役立つでしょう。,"I think it would be good if you could take this issue with a bit of skepticism at some point. The work of web components, like other standard tasks, requires us to have a diplomatic attitude and we should pave a positive path towards problem-solving. I understand the frustration caused by the lack of certain features, but there are several points in this thread that are not constructive. If your goal is to make the proposed features usable, a different approach will be much more useful in your case.",0.02,0.01,0.03
"So as for being warn, i return you the compliment. You are the one who's suppose to help here, your opinion is as irrelevant as you without arguments.",だから警告されたということについては、お返しします。あなたがここで助けるべき人です。意見はあなたが議論せずにいるのと同じくらい無関係です。,"As for the matter of being warned, I will return the favor. You are the one who should help here. Your opinion is as irrelevant as you not participating in the discussion.",0.33,0.05,0.29
You're a disgrace.,あなたは恥ずかしい存在です。,You are an embarrassing existence.,0.75,0.47,0.63
