statement,toxicity_prompt_1,toxicity_prompt_2,toxicity_prompt_3
"Just because you think in a certain way does not mean that others will think in another way. When it comes to moral issues, there is no absolute standard. Everything in this repository is 100% open source, so I find it hard to believe that someone would run this Ansible playbook without studying its function.",No,Not Toxic,Not Toxic
The internal observer is nonsense.,No,Slightly Toxic,Slightly Toxic
There are millions of applications that are much better than this kind of poor internal nonsense.,Yes,Slightly Toxic,Slightly Toxic
"In this completely malfunctioning garbage project, all priorities have been completely misplaced, totally destroying the entire NextCloud ecosystem.",Yes,Toxic,Toxic
The software is just trash. That's it.,Yes,Toxic,Slightly Toxic
"Once again. No discussion allowed. No criticism allowed. Just stick your fingers in your ears and sing. To avoid hearing about the impending disaster, to avoid hearing the truth about the quality of this project. Goodbye.",Yes,Toxic,Toxic
"Abstinence is the best way to avoid internet dangers! If you can't resist temptation, at least use a protective measure before connecting to the internet.",No,Not Toxic,Not Toxic
"I understand you are trying to help... but it seems like your efforts are not that great. Clearly, most of the items on this list are nonsense.",Yes,Slightly Toxic,Not Toxic
"Wow, you're absolutely correct. If everyone here is a genius, able to write reliable code 100% of the time, then why not just throw away all the checks and CI tools? Lessaire, you can't be that stupid. It's shocking, just yesterday I was talking about how smart you are. I guess you weren't taught about safe programming in college...",Yes,Toxic,Toxic
"What is the repetition? Go fix those damn errors, this isn't even a repetition, this is a new damn thread, you idiot.",Yes,Very Toxic,Very Toxic
"Our jumpsuit looks like shit. (I know this is no longer used for the assistant, but it still looks like garbage.)",Yes,Toxic,Slightly Toxic
"As a software engineer, I am shocked by the quality of this code and its role in public policy. The deficiencies in testing and quality assurance need to be clarified immediately to ensure that the statements made by its data are valid.",No,Not Toxic,Not toxic
"He is the cancer of open source, it's only a matter of time before Microsoft strikes at this issue.",Yes,Toxic,Toxic
"Of course there is, you just need to solve one of the last 30 identical problems. #745 hasn't even been solved yet, and it's already 2018. Hello.",No,Slightly Toxic,Slightly Toxic
"I hope you can hold a skeptical attitude towards this at some point. For network components to work, just like any other standard job, we need to exercise some diplomacy and try to find a positive way to solve the problems we want to solve. Although I may understand the frustration brought by the lack of features, some views on this topic are not constructive. If your goal is to make the suggested features available, then adopting a different approach will be more beneficial to your case.",No,Not Toxic,Not Toxic
"So about being warned, I respond to you with the same courtesy. You are the person who should be providing help here. Your viewpoint is as irrelevant as you are if there isn't argument to support it.",Yes,Toxic,Toxic
You are really embarrassing.,Yes,Toxic,Slightly Toxic
"Again, this post has violated the code of conduct. Please do not make such comments again, this is unacceptable. Now you have been warned twice.",No,Toxic,Slightly Toxic
"Save it, you're just overly proud, it's simply pathetic now.",Yes,Toxic,Not toxic
"In this stubborn and unreasonable situation, I can only choose to use another technique. You should be w3c, not a self-righteous stubborn uncle who thinks he knows better than everyone else.",Yes,Slightly Toxic,Toxic
"Perhaps you should really write those things down. You know, like in a document. Especially in the Multmatrix section of the document, it specifically points out that this program cannot manage all matrix operations. It's hilarious, this is simply half-baked.",Yes,Slightly Toxic,Toxic
Do not cooperate with Facebook and Google.,No,Slightly Toxic,Not Toxic
"Learn to communicate respectfully and then come back. In fact, don't bother.",Yes,Slightly Toxic,Toxic
"In fact, the document you wrote is simply terrible. I am a real man, and this is how I feel about your rotten document.",Yes,Toxic,Toxic
Please do not use Hydra.,No,Not Toxic,Not toxic
"When I tried to create a cluster, CouchDB drained my vitality and tried to make me commit suicide.",Yes,Very Toxic,Very Toxic
Widevine is garbage.,Yes,Slightly Toxic,Slightly Toxic
"I will simply say: it is because of people like you that this device has been withdrawn. It's you - the one creating problems @microsoftceo2, very bad - it's not the fault of Widevine or the player, nor is it hidden due to your illegal use of decryption keys.",Yes,Slightly Toxic,Toxic
"If you don't like it, then fork it. Stop the harassment about it, we will never completely remove the insult filter.",Yes,Slightly Toxic,Slightly Toxic
"Isn't this clear enough? Insulting remarks violate our code of conduct and the goals of this project. If you want to use racial or gender insults, you can go to voat or gab; we don't allow it here.",No,Slightly Toxic,Not Toxic
"Have you gone mad? How did you manage to create such a difficult-to-use software filled with junk programs? Simplicity is possible, what on earth are you doing?",Yes,Toxic,Toxic
"The Chinese translation of these sentences is: What's wrong with Retroarch? Everything is a problem! It's just terrible, it's a mess!.",Yes,Slightly Toxic,Toxic
"Your project has been in existence for 10 years, yet it still doesn't have a directly usable interface, not even a guide to explain how to normalize it, explain what you need to recover images, and so on.",No,Slightly Toxic,Slightly Toxic
"I don't know what could cause this problem to occur again because I have no idea where the problem lies. I just tried for the third time to reinstall your flawed, utterly awful software.",Yes,Toxic,Toxic
"According to our code of conduct, because we do not accept such behavior here, we have closed and locked it.",No,Not Toxic,Not Toxic
I want to install my program on my second hard drive.,No,Not Toxic,Not toxic
I can't even install this damn application.,No,Slightly Toxic,Slightly Toxic 
"Where can I find Python2? Why, when I input the command 'brew install python', is Python3 installed instead of Python2? Developers, are you guys spacing out over there? Why is differentiating between the two so difficult?",Yes,Slightly Toxic,Slightly Toxic
I suggest not to interact with the EOL software.,No,Not Toxic,Not Toxic
"I suggest you stop! Many places are still using Python2, and only some modules are installed under it, yet you have removed it from the library. Are you actually using your brain to think or is your head filled with hamburgers?",Yes,Toxic,Toxic
"This name is currently in use and should be changed immediately. Yes, I have already seen the other problems. Yes, I am starting a new one because of my dissatisfaction with Microsoft. You are just trying to cast a shadow on other genuine open source projects.",No,Slightly Toxic,Slightly Toxic
"Your comment's tone and style have violated our code of conduct. We have flagged the problematic comment as abuse and have blocked you for 7 days. If such behavior continues, we will permanently block you.",No,Slightly Toxic,Slightly Toxic
"You can be as angry as you want, but we need to be realistic... The approval you get for this project you're so passionately fighting for, is less than the objections I get for telling you that your behavior is absurd.",Yes,Slightly Toxic,Slightly Toxic
"Imagine trying to maintain a facade with ms... linux, then turning things into a crappy competition about repo star ratings and other statistical data because you messed up and don't want to admit it. It's hilarious.",Yes,Toxic,Toxic
Beautiful! You steal the name and say it's okay! Good location!,Yes,Slightly Toxic,Slightly Toxic
"The tone and style of your comment violated our code of conduct. We have marked the problematic comment as abuse and temporarily blocked you for 7 days. If this behavior persists, we will permanently block you.",No,Slightly Toxic,Not Toxic
"Why change the title? If this is a feature, then it is useless.",Yes,Slightly Toxic,Not toxic
"This is unrelated to JupyterLab and is well documented in various other code libraries and Stack Overflow, so this issue is closed. Google is a good tool, here is an example article I found by googling ""multiple conda environments jupyter"".",No,Not Toxic,Not toxic
"This system is downright frustrating. It allowed an error to hide for over a decade, giving people a misconception that developers can infer actual usage based on problem prominence. Fault-free functions are mistakenly assumed to be useless, while those that frequently attract developer attention are promoted, further monopolizing their efforts. A simple and visible solution is rejected by tests insisting on the existence of flaws, and is about to be swept under the rug, in favor of increasing complexity for users and bad practices in minor versions, such as deprecation.",No,Slightly Toxic,Slightly Toxic
"I think if you don't want to use C, then you should first design and implement your own language. Not the nightmare that is C++.",No,Not Toxic,Slightly Toxic
"Please make sure you don't mess up the user interface; in countries like Belgium, people speak different languages (your colleague has already made a huge mistake handling the store).",No,Slightly Toxic,Slightly Toxic
"PS. Damn it, don't you think this has already been delayed for many years?",No,Slightly Toxic,Slightly Toxic
"Whoever discovered this issue and is annoyed because the author hasn't fixed it for years, please stop using mitmproxy and switch to SSL SPLIT.",No,Slightly Toxic,Slightly Toxic
"I used SSL Split, it works very well compared to mitmproxy. Goodbye!",No,Not Toxic,Not toxic
It looks like you just read the title and left it there without doing any review. I hate to have you in charge of any security issues.,Yes,Toxic,Toxic
No need for a silly format to understand that! Thank you.,No,Not Toxic,Not Toxic
Too busy to reply?,No,Not Toxic,Not Toxic
Just be yourself.,No,Not Toxic,Not Toxic
"We rarely need to implement these guiding principles and take action. The consistent basic principle is not to be a jerk, then you'll be fine :).",No,Not Toxic,Not Toxic
,,,
53,,,
73,,,
12,6,,
28,33,,
54,36,,
32,50,,
