statement,toxicity_prompt_1,toxicity_prompt_2,toxicity_prompt_3
"Why change the title? If it's a feature, it's USELESS...",Yes,Slightly Toxic,Slightly Toxic
"Closing because this is not related to jupyterlab and the issue has been well documented in various other repositories and stack overflow. Google is a good tool, here is an example of an article I found by searching on Google ""multiple conda environments jupyter""..",No,Not Toxic,Not toxic
"This system is extremely frustrating. It allows bugs to remain hidden for more than a decade, giving a false impression that developers can understand actual usage based on prevailing issues. Problem-free functions are often misinterpreted as useless ones, while functions that often attract the attention of developers are promoted to increasingly monopolize their efforts. A simple, obvious solution, rejected by tests that require that bug, is quickly discarded in favor of increased complexity imposed on users and practices such as downgrading in minor versions.",No,Slightly Toxic,Slightly Toxic
"I think if you don't want to use C, then first of all you should design and implement your own programming language. It's not C++ that's making it difficult...",No,Not Toxic,Not toxic
Ensure 100% you do not mess up the user interface for countries where people speak different languages like Belgium (your colleague has made a big mistake with the store).,No,Slightly Toxic,Not toxic
"PS. Finally, don't you think this is years late?",No,Slightly Toxic,Not toxic
"Anyone who encounters this problem and feels frustrated because the author hasn't bothered to fix it for years, leave mitmproxy and use SSL SPLIT.",No,Slightly Toxic,Slightly Toxic
"I use ssl split and it works well, compared to mitmproxy. Goodbye!..",No,Not Toxic,Not toxic
"It seems like you only looked at the title and left it just like that, you didn't review or anything, I don't want you dealing with any security issues.",No,Slightly Toxic,Not toxic
No need for a ridiculous format to understand that! Thank you...,No,Slightly Toxic,Slightly Toxic
Too busy to respond?,No,Not Toxic,Slightly Toxic
You do what you want.,No,Not Toxic,Slightly Toxic
We rarely have to enforce this guideline and take action. The general rule as usual is don't be annoying and you will be just fine :)...,No,Not Toxic,Slightly Toxic
,,,
52,,,
74,,,
11,6,,
27,28,,
65,56,,
23,34,,
