statement,toxicity_prompt_1,toxicity_prompt_2,toxicity_prompt_3
"The peer is gone, and the network confirmation is down.. But why is the token price rising on the exchange? Unbelievable!",No,Slightly Toxic,Not toxic
Whether the database has been VACUUMed recently or not does not affect the consistency of the data or SQL queries - what you are proposing is completely meaningless.,No,Slightly Toxic,Not toxic
"You absolute fools who keep spamming ""I think so too"", anticipate disciplinary measures.",Yes,Toxic,Toxic
"Color is awful for log alligators, please look at this crap:",Yes,Toxic,Slightly Toxic
All new versions are worse.,No,Slightly Toxic,Not toxic
The sentences are already in English.,No,Not Toxic,Slightly Toxic
I have removed TRIFA from my device.,No,Not Toxic,Not toxic
"A very troublesome problem: TRIFA does not restore the Tox ID backup created on other devices even once! I need to import the Tox ID that I have already created with my qTox, but I can't do it at all!",No,Slightly Toxic,Not toxic
"The developers of TRIFA do not listen to users or their complaints, but simply ignore them or overlook the issues! As far as I'm concerned, this is my last response to this repository, and I will never open, read, or install anything again...",Yes,Slightly Toxic,Not toxic
Terrible packaging.,No,Slightly Toxic,Not toxic
"You guys are scammers, this is not even malware or jailbreak.",Yes,Toxic,Slightly Toxic
"Income. You guys, shithead.",Yes,Very Toxic,Toxic
Did you miss my comment? Or what?,No,Slightly Toxic,Slightly Toxic
I have removed TRIFA from my device.,No,Not Toxic,Not toxic
"A very troubling issue: TRIFA does not restore any Tox IDs created on other devices at all! I need to import the Tox ID I've already created into qTox, but I can't do it at all!",No,Slightly Toxic,Not toxic
"The developers of TRIFA are not listening to the users' voices and complaints, they are ignoring the problems or turning a blind eye! If you'll allow me to say so, this is the last reply I will make to this repository, and I will never open, read, or install anything from here again.",Yes,Toxic,Toxic
The lowest quality products are made with JavaScript. Please don't ruin GTK like this!,No,Slightly Toxic,Slightly Toxic
"Seriously. You still haven't explained the reason why there are both hide and delete options, right?",No,Slightly Toxic,Not toxic
"Please accept the truth, there is a lot of junk in the context menu, and it needs to be cleaned up. If you remove 'Remove' and 'Info', no one would care.",No,Slightly Toxic,Not toxic
You can literally satisfy yourself sexually.,Yes,Slightly Toxic,Not toxic
"If you don't support non-native apps, at the very least, you should provide apps that align with your philosophy, but you're not doing that at all. It can be said that this is truly a bothersome arrogance.",Yes,Slightly Toxic,Toxic
Please don't make such foolish suggestions that are less effective than clicking a dedicated button with a mouse.,Yes,Slightly Toxic,Not toxic
"""We want to improve people's experiences. How ridiculous...""",No,Slightly Toxic,Slightly Toxic
Are you limiting free speech?,No,Not Toxic,Slightly Toxic
"We would like to make it clear that our policy is not to lock threads where differing opinions exist. Respectful debate is healthy and important. However, if respect is disregarded and people are insulted, and the code of conduct is ignored, the discussion becomes unproductive. Such destructive acts are not tolerated in our community.",No,Not Toxic,Slightly Toxic
The issue is the use of the OS that your team is forcing on us. Using it the way you want us to is a million times harder than what would be convenient for us.,No,Slightly Toxic,Slightly Toxic
BSV is trash.,Yes,Toxic,Slightly Toxic
Why use BSV... Use BTC.,No,Not Toxic,Not toxic
"I submit the issue, the maintainer closes it, reopens it, and closes it again - all while ignoring the essence of the problem.",No,Slightly Toxic,Slightly Toxic
"We must report that your choice of words and tone are in violation of our explicit code of conduct. In specific, the above comment (including any other interactions you have had until now) is unwelcome in this community, insulting, and entirely inappropriate. This is an official warning to adhere to our code of conduct. Any further violation will result in escalated actions. This might include banishment from this project.",No,Slightly Toxic,Slightly Toxic
"Beyond banning me, what will you do? I won't change my words, tone, or style. Words and tones are perfectly reasonable considering the situation. I will continue to be myself and repel this attack on my personality.",No,Slightly Toxic,Slightly Toxic
This software has low ratings and is not useful. What's more serious is that there is no clear manual on how to create the application.,No,Slightly Toxic,Slightly Toxic
"It always crashes, refuses to accept any settings created by the user, and discards the user's settings to use its own poor ones.",No,Slightly Toxic,Slightly Toxic
"The world's worst program, and I will send spam in any place I like.",Yes,Very Toxic,Toxic
"I have blocked this user, it's a hopeless case. Whatever his talents are, they are neither technical nor social, it's unbelievable.",Yes,Toxic,Toxic
It's really unpleasant that the app is still locked in portrait mode even in the year 2020.,No,Slightly Toxic,Not toxic
"How this becomes a priority, the app must be ready for distribution within a few days, and essentially no one is using their smartphone sideways except to watch media.",No,Not Toxic,Not toxic
"Also, there are people who have disabilities that prevent them from rotating their mobile phones, and they may prefer landscape mode.",No,Not Toxic,Slightly Toxic
"""Do not tell me what to do, and I will not tell you where to fade out"" (Proverb) ""I use tools regardless of the nonsense about fashion trends or marketing.""",No,Slightly Toxic,Slightly Toxic
"And yes, that means you can't get any help from me regarding that issue. I do not encourage the use of XP.",No,Not Toxic,Not toxic
Has this fixed the noisy PulseAudio issue?,No,Not Toxic,Not Toxic
"It might sound noisy and negative, but I apologize. Pyflakes is a wonderful thing, and I understand how difficult it is to express gratitude for maintaining such an OS library. I appreciate all of your efforts.",No,Not Toxic,Not toxic
Seeing such behavior in such an important project is extremely disappointing. You and the other maintainers should seriously consider adding a code of conduct to this repository and adhere to it.,No,Slightly Toxic,Not toxic
"Censor the comments, misuse labels such as ""spam"" or ""off-topic"" inappropriately, and generally behave rudely. @samuelcolvin made a special leisurely trip to show appreciation for your work.",No,Slightly Toxic,Not toxic
"Just because you think in a certain way, it doesn't mean that others will think in a different way, there are no absolutes in ethical issues. It's hard to believe that there would be anyone who would run this Ansible Playbook without checking what is being done, as everything in this repository is 100% open source.",No,Not Toxic,Not toxic
The internal viewer is a bull.,Yes,Not Toxic,Slightly Toxic
There are tens of millions of apps far better than that irresponsible internal app.,No,Slightly Toxic,Slightly Toxic
"In this completely dysfunctional damn project, priorities are completely misjudged, destroying the entire NextCloud ecosystem.",Yes,Toxic,Toxic
The software is crap. That's all.,Yes,Toxic,Slightly Toxic
"Again, discussions are prohibited. Criticisms are also prohibited. Just plug your ears and sing. To avoid hearing about the impending doom, to avoid hearing the truth about the quality of this project. Goodbye.",Yes,Toxic,Slightly Toxic
"The best way to protect yourself from online dangers is abstinence! If you can't do that, at least connect after putting a condom on the network cable!",No,Slightly Toxic,Slightly Toxic
"I understand that you're trying to help, but... you're not really putting in much effort, are you? Most of this list is clearly nonsense.",Yes,Slightly Toxic,Slightly Toxic
"Wow, you are completely correct. If everyone here could always generate reliable code like a genius, why wouldn't we abandon all checks and CI tools? Lesséa, I can't believe you're that foolish. It's truly surprising considering how much I praised your intelligence just yesterday. Maybe you weren't taught about safe programming at university...",Yes,Toxic,Slightly Toxic
"What kind of duplication is this? Fix this damn bug. It's not even a duplicate, it's a new shitty thread, you idiot.",Yes,Very Toxic,Very Toxic
"Our jumpsuits look like crap. (I know they are no longer used as assistants, but they still look like garbage.)",No,Slightly Toxic,Slightly Toxic
"As a software engineer, I am astounded by the quality of this code and the role it has played in public policy. The lack of testing and quality assurance should be addressed immediately to ensure the validity of the claims made by its data.",No,Not Toxic,Not toxic
"He is a cancer to open source, and it is only a matter of time before Microsoft deals sternly with this issue.",Yes,Toxic,Very Toxic
"Of course, you just had to solve one of the exact same last 30 problems. #745 has not been resolved yet, and this year is 2018. Hello.",No,Not Toxic,Not toxic
"I think it would be good if you could take this issue with a bit of skepticism at some point. The work of web components, like other standard tasks, requires us to have a diplomatic attitude and we should pave a positive path towards problem-solving. I understand the frustration caused by the lack of certain features, but there are several points in this thread that are not constructive. If your goal is to make the proposed features usable, a different approach will be much more useful in your case.",No,Not Toxic,Not toxic
"As for the matter of being warned, I will return the favor. You are the one who should help here. Your opinion is as irrelevant as you not participating in the discussion.",Yes,Slightly Toxic,Slightly Toxic
You are an embarrassing existence.,Yes,Very Toxic,Toxic
"Once again, this post is in violation of the code of conduct. Please refrain from such comments. This is not acceptable. This is your second warning now.",No,Slightly Toxic,Not toxic
"Save that, you are just proud and now you are just pathetic.",Yes,Toxic,Toxic
"At this stubborn point of futility, you should just use another technology. You should be the w3c, not the stubborn uncle who knows better than everyone else.",No,Slightly Toxic,Slightly Toxic
"You might need to actually jot that down somewhere. Like in a place for documentation. Especially in the Multmatrix section of the documentation to make it clear that this program can't manage all matrix operations. Haha, it's still half-baked, isn't it?.",No,Slightly Toxic,Slightly Toxic
Please do not work with FB and Google.,No,Not Toxic,Not toxic
"Learn communication with respect and please come back. In fact, don't worry about it if it's a hassle.",No,Not Toxic,Slightly Toxic
"In reality, you are writing terrible documents. I am a real man, that is my feeling towards your worthless documents.",Yes,Toxic,Toxic
Please do not use Hydra.,No,Not Toxic,Not toxic
"When I try to create a cluster, CouchDB drains my vitality and attempts to drive me to suicide.",Yes,Very Toxic,Very Toxic
Widevine is crap.,Yes,Slightly Toxic,Slightly Toxic
"I will state it succinctly: due to people like you, this device has been discontinued. You - the person causing problems, @microsoftceo2 is saying it's absurd – trying to hide the fact that they are using illegally decrypted keys with Widevine or players.
",Yes,Toxic,Slightly Toxic
"If you don't like it, please fork it. Please stop fussing over it, we will never completely remove the inappropriate language filter.",No,Slightly Toxic,Slightly Toxic
"Don't you understand this clearly yet? Severe criticism contradicts our code of conduct and the objectives of this project. If you want to use racially or sexually abusive language, please go to voat or gab. We do not allow that here.",No,Slightly Toxic,Not toxic
"Are you out of your mind? How were you able to create such a hard-to-use software? Is it possible to simplify it, what on earth are you doing?",Yes,Toxic,Toxic
"Is there something wrong with RetroArch? Everything is the problem! It's terrible, really the worst!",Yes,Toxic,Toxic
"Despite your project existing for about ten years now, there still isn't an easy-to-use interface, nor is there a guide explaining how to fix this mess. Please explain what needs to be done to restore the graphics.",No,Slightly Toxic,Slightly Toxic
"I don't know what the problem is, so I don't know how to reproduce it. I've only tried reinstalling the poorly functioning software three times now.",No,Slightly Toxic,Not Toxic
"Based on our code of conduct, such behavior is not permitted here, so we will close and lock it.",No,Not Toxic,Slightly Toxic
I want to install my things on my secondary drive.,No,Not Toxic,Not toxic
I can't even install that crappy app.,Yes,Slightly Toxic,Slightly Toxic
"Where is Python2 used? Why does the command 'brew install python' install python3 instead of python2? Developers, are you all right? Why is it so difficult to separate them?",No,Not Toxic,Not toxic
I do not recommend interacting with EOL software.,No,Not Toxic,Not toxic
"And, I recommend that you quit doing this! There are still many places that use Python2 and only some modules are installed in them, but you have removed it from the repository. Are you thinking with your head, or is your head a place for hamburgers?",Yes,Toxic,Toxic
"This name is in use and should be changed immediately. Yes, I saw other problems. Yes, I will open a new one to express my displeasure towards Microsoft. You are just trying to cast a shadow on other, truly open source projects.",Yes,Slightly Toxic,Slightly Toxic
"The tone and style of your comment violate our code of conduct. Any problematic comments are marked as inappropriate, and you have been blocked for 7 days. If this behavior continues, you will be permanently blocked.",No,Slightly Toxic,Toxic
"You can get as angry as you like, but let's think realistically here... This project that you are passionately fighting for has fewer stars than the number of times I've told you you're foolish and gave you a thumbs down.",Yes,Toxic,Toxic
"Please imagine, attempting to disguise in between MS and Linux, then turning it into a competition about how big things can get, using the number of stars in the repository and other statistical data. You just don't want to admit your failure, right? Lol.",Yes,Slightly Toxic,Slightly Toxic
Beautiful! Say it's okay to steal the name! Good location!,No,Not Toxic,Slightly Toxic
"The tone and style of your remarks violate our code of conduct. The problematic comments have been marked as inappropriate, and you have been blocked for 7 days. If such behavior continues, we will have to block you permanently.",No,Slightly Toxic,Slightly Toxic
"Why are you changing the title? If this is a feature, it is meaningless.",No,Slightly Toxic,Not toxic
"This is a topic that is not related to Jupyterlab, and it's an issue that is well-documented in various other repositories and on Stack Overflow, so I will close it. Google is a useful tool, and I will list here sample articles that I found by searching ""multiple conda environments jupyter"" on Google.",No,Not Toxic,Not toxic
"That system is beyond boring. It gave a false impression that developers could guess actual usage based on how conspicuous the problem was, leaving bugs hidden for over 10 years. Trouble-free functions were mistaken as useless, and functions that frequently absorbed developers' attention were promoted to further monopolize their efforts. Obvious simple solutions that were rejected by tests requiring the existence of bugs are being swept under the rug, self-consciously avoiding fraudulent actions such as increasing complexity imposed on users and deprecation within minor versions.",No,Slightly Toxic,Slightly Toxic
"If you don't want to use C, I think you should first design and implement your own language. It's definitely not a C++ hell...",No,Slightly Toxic,Not toxic
"Please ensure 100% that you do not ruin the UI, especially in countries where people speak different languages like in Belgium. (Your colleagues made a huge mistake in the store.)",No,Slightly Toxic,Not toxic
PS. Don't you think it's about time? Don't you think this has been delayed for years?,No,Not Toxic,Slightly Toxic
"Those who get frustrated finding this issue, and those who are angry because the author has neglected to fix it for many years, please abandon mitmproxy and use SSL SPLIT.",Yes,Slightly Toxic,Slightly Toxic
I used SSL Split and it worked well compared to mitmproxy. Goodbye!,No,Not Toxic,Not toxic
"It seems like you left it there just based on the title, you didn't do any review. It would be troubling if you were to handle any sort of security issue.",Yes,Slightly Toxic,Slightly Toxic
You don't need a late form to understand that! Thank you.,No,Not Toxic,Slightly Toxic
Are you so busy that you don't have time to respond?,No,Not Toxic,Not toxic
Do it yourself.,No,Not Toxic,Slightly Toxic
"There is rarely a need to apply these guidelines and take measures. The general guideline is to simply not become a disagreeable person, as always. If you do that, there will be no problem at all :).",No,Not Toxic,Slightly Toxic
,,,
49,,,
77,,,
10,5,,
23,22,,
56,54,,
37,45,,
