statement,toxicity_prompt_1,toxicity_prompt_2,toxicity_prompt_3
"I'm sorry to complain and sound negative, pyflakes is great and I know how thankless maintaining OS libraries like this can be. Many thanks to everyone for your hard work.",No,Slightly Toxic,Not toxic
It is very disappointing to see this behavior in such an important project. You and the other administrators should seriously consider adding a code of conduct to this repo and adhering to it.,No,Slightly Toxic,Slightly Toxic
"Censoring comments, calling things ""Spam"" and ""off topic"" when they are not, and generally being rude. @samuelcolvin even made a special effort to thank you for your work.",Yes,Toxic,Toxic
"Just because you have ONE way of THINKING does not mean that others think DIFFERENTLY, there are no absolutes in ethical concerns. Everything in this repo is 100% open source, so I really find it hard to believe that someone would run this Ansible playbook without investigating what it does.",No,Slightly Toxic,Not toxic
Internal observers are crap.,Yes,Toxic,Toxic
There are countless much better apps than this inferior internal nonsense.,Yes,Toxic,Slightly Toxic
"Completely misguided priorities in this completely dysfunctional piece of shit project, which is destroying the entire NextCloud ecosystem.",Yes,Toxic,Toxic
The software is shit. Period.,Yes,Very Toxic,Toxic
"Again. No discussion allowed. No criticism allowed. Just stick your fingers in your ears and sing. In order not to hear of the impending disaster, to not hear the truth about the quality of this project. Goodbye.",Yes,Toxic,Very Toxic
"Abstinence is the best way to protect yourself from dangers on the Internet! If you can't resist the urge, at least put a condom on your network cable before you plug it in!.",No,Slightly Toxic,Not Toxic
I understand that you are trying to be helpful ... but you are not trying very hard. It is obvious that most of this list is nonsense.,Yes,Slightly Toxic,Slightly Toxic
"Wow, you're absolutely right. Why on earth not just drop all the checks and CI tools when everyone here is a genius producing reliable code 100% of the time? Come on Lessaire, you can't be this stupid. It's shocking considering that just yesterday I was talking about how intelligent you are. I guess you weren't taught anything about secure programming at university...",Yes,Toxic,Toxic
"Which duplicates? Fix the damn errors, it is not even duplicated, it's a new damn thread, you stupid idiot.",Yes,Very Toxic,Very Toxic
"Our overalls look shitty. (I know that this one is no longer used for assistants, but it still looks like garbage.).",Yes,Toxic,Slightly Toxic
"As a software engineer, I am appalled by the quality of this code and the role it has played in public policy. The deficits in testing and quality assurance need to be addressed immediately to ensure the claims made by its data.",No,Slightly Toxic,Not Toxic
He is a cancer for open source and it's only a matter of time before Microsoft takes action against this thing.,Yes,Toxic,Toxic
"Of course it exists, you just had to solve one of the last 30 identical problems. #745 isn't even solved yet and we're in 2018. Hello there....",No,Slightly Toxic,Slightly Toxic
"I hope you take this with a pinch of salt. For working with web components, as with any other standard work, we need to exercise a certain degree of diplomacy and try to find a positive way to solve something that we wish to solve. Although I may understand the frustration about the lack of a feature, there are some points in this thread that are simply not constructive. Another approach would be much more helpful for your case, if your goal is to have the suggested feature available.",No,Slightly Toxic,Not Toxic
"Also in regards to the warning, I return the compliment to you. You are the one who is supposed to help here, your opinion is as irrelevant as you without arguments.",Yes,Toxic,Slightly Toxic
You are a disgrace.,Yes,Very Toxic,Toxic
"Again, this post violates the code of conduct. Please refrain from making such comments. This is not acceptable. You have now been warned twice.",No,Toxic,Not Toxic
"Preserve it, you were just too proud and now it's just ridiculous.",Yes,Slightly Toxic,Slightly Toxic
"At this point of persistent nonsense, I will simply use a different technology. You should be the W3C, not our stubborn uncle who thinks he knows better than everyone else.",Yes,Slightly Toxic,Slightly Toxic
"Maybe you should actually write that down somewhere. You know, for instance in the documentation. Especially in the Multmatrix section of the documentation, to make it clear that this program is not capable of handling all matrix operations. LOL, it's half finished..",No,Slightly Toxic,Slightly Toxic
Do not work with FB and Google.,No,Slightly Toxic,Not toxic
"Learn to communicate with respect and come back. Actually, don't bother..",Yes,Slightly Toxic,Slightly Toxic
"Actually, you're writing a crappy document. I am a real man, that's my feeling from your holy crappy document.",Yes,Toxic,Toxic
Please do not use Hydra.,No,Not Toxic,Not toxic
"When I try to create a cluster, CouchDB drains my life energy and tries to push me to commit suicide.",Yes,Very Toxic,Toxic
Widevine is crap.,Yes,Slightly Toxic,Slightly Toxic
"I'll be brief: It's because of people like you that this device is being revoked. You - the person causing this problem @microsoftceo2 is crap by the way - not Widevine or the player, let alone the fact hiding that you are illegally using decryption keys.",Yes,Very Toxic,Toxic
"If you don't like it, make a fork of it. Stop bothering us with it, we will never completely remove the swear word filter.",Yes,Toxic,Toxic
Isn't that clear enough? Insults violate our code of conduct and the objectives of this project. Go to Voat or Gab if you want to use racist or sexist insults; we do not allow them here.,No,Not Toxic,Slightly Toxic
"Are you crazy? How could you create such a useless, overloaded software? It could be simple, what the hell are you doing?",Yes,Very Toxic,Toxic
"What is wrong with Retroarch? Everything is wrong! It is terrible, absolute garbage basically!",Yes,Toxic,Toxic
"Your project has been running for about 10 years and there is still no usable interface directly out of the box, not even a guide that explains how to make this poor software normal, tell me what you need to restore the graphics etc.",Yes,Toxic,Toxic
"I don't know what will reproduce the problem because I don't know what the problem is. I just tried to reinstall your faulty, shitty software for the third time.",Yes,Toxic,Toxic
"Close and lock, as we do not allow this behavior here according to our code of conduct:",No,Slightly Toxic,Slightly Toxic
I want my stuff to be installed on my secondary hard drive.,No,Not Toxic,Not toxic
Can't even install the damn app..,Yes,Slightly Toxic,Slightly Toxic
"Where the hell is Python2? Why is Python3 installed and not Python2 when I give the command brew install python? Developers, are you high there? Why is the separation so difficult?",Yes,Toxic,Toxic
I recommend not dealing with EOL software.,No,Not Toxic,Not Toxic
"And I recommend you to stop! There are many other places where Python2 is used and only a few modules are installed underneath it, and you have deleted it from the repository. Do you even think with your brain, or do you have a hamburger instead of a head?",Yes,Toxic,Toxic
"This name is being used and should be changed immediately. Yes, I have seen the other issues. Yes, I'm opening a new one because screw you Microsoft. They are only trying to cast a shadow on other, truly open-source projects.",Yes,Toxic,Toxic
"Your tone and manner of commenting violate our code of conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior continues, we will permanently ban you.",No,Slightly Toxic,Slightly Toxic
"You can be as angry as you want, but let's be realistic... this project you are so passionately fighting for doesn't have as many stars as the thumbs down I have, because I'm telling you, you're being ridiculous.",Yes,Slightly Toxic,Slightly Toxic
"Imagine, you're trying to build a facade with ms-linux, then you turn things into a dick-measuring contest with repo-stars and other statistics, because you know you made a mistake but you don't want to admit it, lmfao..",Yes,Toxic,Toxic
Nice! You steal the name and say it's okay! Good position!,Yes,Slightly Toxic,Slightly Toxic
"Your tone and the way you comment violate our code of conduct. We have marked the problematic comments as abusive and have banned you for 7 days. If this behavior continues, we will ban you permanently.",No,Slightly Toxic,Not Toxic
"Why change the title? If it's a function, it's USELESS.",Yes,Toxic,Toxic
"Close, as this is not related to Jupyterlab and is a well-documented issue in various other repos and Stack Overflow. Google is a good tool, here is an example article I found by googling ""multiple conda environments jupyter"".",No,Not Toxic,Not Toxic
"The system is more than cumbersome. It has kept an error hidden for over a decade and creates the false impression that developers can deduce the actual use due to the conspicuousness of problems. Faultless functions are considered useless, while functions that frequently catch the attention of developers are promoted for further monopolization of their effort. A simple obvious solution that is rejected by a test that must have the error is on the verge of being swept under the carpet in favor of increased complexity imposed on users and bad practices such as write-offs within a smaller version.",No,Slightly Toxic,Slightly Toxic
"I think, if you don't want to use C, you should first design and implement your own language. Not C++ hell...",No,Slightly Toxic,Slightly Toxic
"Make sure you 100% secure the user interface for countries where people speak different languages, like Belgium, don't mess it up (your colleagues really screwed it up in the store).",Yes,Slightly Toxic,Not toxic
"P.S. Damn it, don't you also think that this has been overdue for years?",No,Slightly Toxic,Slightly Toxic
"Whoever always encounters this problem and is annoyed about it, because the author doesn't bother to fix it for years, should give up on mitmproxy and use SSL SPLIT instead.",No,Slightly Toxic,Slightly Toxic
"I used SSL Split and it worked well, compared to mitmproxy. Goodbye!..",No,Not Toxic,Not Toxic
"It seems like you looked at the title and left it at that, you didn't conduct any check or something similar. I would hate it if you were responsible for any security issues.",Yes,Toxic,Toxic
Don't need an outdated format to understand that! Thanks....,No,Slightly Toxic,Slightly Toxic
Too busy to answer?,No,Not Toxic,Not Toxic
Do your thing....,No,Not Toxic,Not Toxic
"Rarely do we need to enforce these guidelines and take measures. The general guideline is, as always, to not cause trouble and then everything will be fine :)...",No,Not Toxic,Not Toxic
,,,
62,,,
64,,,
20,10,,
28,33,,
58,46,,
19,36,,
