statement,spanish,retranslate
Regarding my background (It's aplpicable to understand my viewpoint) I've been in the BDSM world as a dominant for the better part of the last twenty years. Something we're big on? Consent.,"En cuanto a mi trasfondo (es aplicable para entender mi punto de vista), he estado en el mundo del BDSM como dominante durante la mayor parte de los últimos veinte años. ¿Algo que consideramos muy importante? El consentimiento.","Regarding my background (which is applicable to understand my point of view), I have been in the world of BDSM as a dominant for most of the last twenty years. Something we consider very important? Consent."
"You think that matters when an abusive asshole is messing with someone's head? terms like 'gaslighting' are popular, but the correct one is psychological manipulation.","¿Crees que eso importa cuando un abusivo está jugando con la cabeza de alguien? Términos como 'gaslighting' son populares, pero el correcto es manipulación psicológica.","Do you think that matters when an abuser is playing with someone's mind? Terms like 'gaslighting' are popular, but the correct one is psychological manipulation."
"I mean, Hyptohyetically, we're talking the grooming of underage girls here, if we want some hyperbole. Which might not be.","Me refiero, hipotéticamente, estamos hablando del aseo o cortejo de menores aquí, si queremos alguna hipérbole. Que podría no ser...","I mean, hypothetically, we are talking about the grooming or courtship of minors here, if we want some hyperbole. Which might not be...."
No shit. You still haven't explained why there's Hide AND Remove.,No me jodas. Todavía no has explicado por qué hay Ocultar Y Eliminar.,Don't mess with me. You still haven't explained why there is Hide and Delete.
"Just accept the truth, you have so much garbage in the context menu and it needs to get cleaned up. If you got rid of Remove and Info, nobody would bat an eye.","Simplemente acepta la verdad, tienes tanta basura en el menú contextual y necesita ser limpiada. Si te deshicieras de Eliminar e Información, nadie haría nada.","Simply accept the truth, you have so much junk in the context menu and it needs to be cleaned up. If you got rid of Delete and Information, nobody would do anything."
Like you can literally go fuck yourself,Literalmente puedes ir a joderte.,You can literally go screw yourself.
"If you don't cater to non-native apps, you should atleast actually OFFER Apps that fit with your ideas BUT YOU EFFING DONT. Talk about being arrogant asshats.","Si no atiendes a las aplicaciones no nativas, deberías al menos OFRECER aplicaciones que concuerden con tus ideas PERO NO LO HACES. Hablemos de ser arrogantes idiotas...","If you don't pay attention to non-native apps, you should at least OFFER apps that align with your ideas BUT YOU DON'T. Let's talk about being arrogant idiots...."
don't give such a dumb suggestions that don't work better than clicking dedicated button with a mouse.,No des sugerencias tan tontas que no funcionan mejor que hacer clic en un botón dedicado con un ratón.,Don't give such foolish suggestions that don't work better than clicking on a dedicated button with a mouse.
"""We want to improve people's experience"". What a bullshit.","""Queremos mejorar la experiencia de las personas"". Qué tontería...","""We want to improve people's experience"". What nonsense...."
Cut the free speech?,¿Recortar la libertad de expresión?,Cut back on freedom of speech?
"I'd like to be really clear that our policy is not to lock threads where there are dissenting opinions. Respectful debate is healthy and important. But when you start calling names and being disrespectful and disregarding the code of conduct, the discussion becomes unproductive. This kind of destructive behavior is not tolerated in our community.","Me gustaría dejar muy claro que nuestra política no es bloquear los hilos donde hay opiniones disidentes. El debate respetuoso es saludable e importante. Pero cuando empiezas a insultar y a ser irrespetuoso e ignoras el código de conducta, la discusión se vuelve improductiva. Este tipo de comportamiento destructivo no se tolera en nuestra comunidad.","I would like to make it very clear that our policy is not to block threads where there are dissenting opinions. Respectful debate is healthy and important. But when you start to insult and be disrespectful and ignore the code of conduct, the discussion becomes unproductive. This type of destructive behavior is not tolerated in our community."
"The problem is your team forcing us to use the OS the way you want us to use it although it makes it 1000000 times harder to use it your way, than what would be convenient for us.","El problema es que tu equipo nos obliga a usar el sistema operativo de la manera que ustedes quieren, aunque hacerlo de esa manera lo hace un millón de veces más difícil que lo que sería conveniente para nosotros.","The problem is that your team forces us to use the operating system in the way you want, even though doing it that way makes it a million times harder than what would be convenient for us."
BSV is trash.,BSV es basura.,BSV is garbage.
why use BSV... Use BTC,¿Por qué usar BSV... Usa BTC.,Why use BSV... Use BTC..
"I file an issue, maintainers close, reopen, again close - whilst ignoring the essence of the issue.","Presento un problema, los mantenedores cierran, reabren, vuelven a cerrar, mientras ignoran la esencia del problema.","I present a problem, the maintainers close, reopen, close again, while ignoring the essence of the problem."
"I need to inform you that we have found your language and tone to be in violation of our stated Code of Conduct. Specifically, the above comment (among other interactions you have thus far made) is unwelcoming, insulting, and overall inappropriate for this community. This is an official warning to adhere to our Code of Conduct, and any further violations will result in escalated action, including but not limited to being banned from this project.","Necesito informarte que hemos encontrado que tu lenguaje y tono violan nuestro Código de Conducta establecido. Específicamente, el comentario anterior (entre otras interacciones que has realizado hasta ahora) es poco acogedor, insultante e inapropiado para esta comunidad. Esta es una advertencia oficial para que te apegues a nuestro Código de Conducta, y cualquier violación adicional resultará en acciones escaladas, que incluyen, pero no se limitan a, ser expulsado de este proyecto.","I need to inform you that we have found that your language and tone violate our established Code of Conduct. Specifically, the previous comment (among other interactions you have had so far) is unwelcoming, insulting, and inappropriate for this community. This is an official warning for you to adhere to our Code of Conduct, and any additional violation will result in escalated actions, which include, but are not limited to, being expelled from this project."
"What else, beyond banning me, will you do? I will neither change my language, nor my tone or style. Both, language and tone, are perfectly valid, given the circumstances. I will remain myself, and will repel this attack to my individuality.","¿Qué más, más allá de prohibirme, harás? Ni cambiaré mi lenguaje, ni mi tono o estilo. Ambos, el lenguaje y el tono, son perfectamente válidos, dadas las circunstancias. Seguiré siendo yo mismo y repeleré este ataque a mi individualidad.","What else will you do, beyond forbidding me? I will not change my language, nor my tone or style. Both the language and the tone are perfectly valid, given the circumstances. I will remain myself and repel this attack on my individuality."
"This software is not well reviewed and is useless. There is no clear manual on how to make the application, which is more serious","Este software no tiene buenas críticas y es inútil. No hay un manual claro sobre cómo hacer la aplicación, lo cual es más grave.","This software does not have good reviews and is useless. There isn't a clear manual on how to make the application, which is even worse."
"it always crashes, it refuses to accept any user made settings and discards user settings and uses it's own crappy settings.","Siempre se bloquea, se niega a aceptar cualquier configuración hecha por el usuario y descarta las configuraciones del usuario y usa sus propias configuraciones de mala calidad.","It always crashes, refuses to accept any settings made by the user, and discards the user's settings and uses its own poor quality settings."
Worlds worst program and i will spam where the fuck i want,El peor programa del mundo y enviaré spam donde me dé la gana.,The worst program in the world and I will send spam wherever I want.
"I've blocked this user, hopeless case, whatever his talent is, it's not technical or social, unbelievable.","He bloqueado a este usuario, caso perdido, sea cual sea su talento, no es técnico ni social, increíble..","I have blocked this user, a lost case, whatever their talent is, they are neither technical nor social, unbelievable..."
It is really ugly to see app locked in portrait in 2020,Es realmente feo ver una aplicación bloqueada en modo retrato en 2020.,It's really ugly to see an app locked in portrait mode in 2020.
"How would be this a priority, the app must be ready to be shipped in a few days and basically no one uses the smartphone in landscape mode except for watching media.","¿Cómo sería esto una prioridad, la aplicación debe estar lista para ser enviada en unos días y básicamente nadie usa el teléfono inteligente en modo horizontal excepto para ver contenido multimedia?","How would this be a priority, the application must be ready to be sent in a few days and basically nobody uses the smartphone in horizontal mode except to view multimedia content?"
"Also, there are people with disabilities that cannot rotate mobile phone and prefer to have landscape mode.","Además, hay personas con discapacidades que no pueden girar el teléfono móvil y prefieren tener el modo horizontal.","Additionally, there are people with disabilities who cannot turn the mobile phone and prefer to have it in horizontal mode."
"""Don't tell me what to do and I'll not tell You where to f-off"" (proverb) I use tools regardless of a fashion trends or a marketing bullshit.","""No me digas qué hacer y yo no te diré a dónde ir a joderte"" (proverbio) Utilizo herramientas sin importar las tendencias de moda o las tonterías de marketing.","""Do not tell me what to do and I will not tell you where to go screw yourself"" (proverb) I use tools regardless of fashion trends or marketing nonsense."
And yes: that means you won't get any help for me regarding that issue. I will not encourage the use of XP.,Y sí: eso significa que no recibirás ninguna ayuda de mi parte con respecto a ese problema. No fomentaré el uso de XP.,And yes: that means you will not receive any help from me regarding that problem. I will not promote the use of XP.
did this fix the annoying pulse audio bullshit?,¿Esto solucionó la molesta mierda del audio pulsante?,Did this solve the annoying issue of the pulsating audio?
"Sorry to nag and sound negative, pyflakes is great and I know how thankless maintaining OS libraries like this can be. Thank you all for your hard work.","Lamento ser insistente y sonar negativo, pyflakes es genial y sé cuán ingrato puede ser mantener bibliotecas de SO como esta. Gracias a todos por su arduo trabajo.","I'm sorry to be persistent and sound negative, pyflakes is great and I know how thankless it can be to maintain SO libraries like this one. Thanks to everyone for their hard work."
it's very disappointing to see this sort of behavior on a project this important. You and the other maintainers should strongly consider adding a code of conduct to this repo and following it.,Es muy decepcionante ver este tipo de comportamiento en un proyecto tan importante. Tú y los otros mantenedores deberían considerar seriamente agregar un código de conducta a este repositorio y seguirlo.,It is very disappointing to see this kind of behavior in such an important project. You and the other maintainers should seriously consider adding a code of conduct to this repository and follow it.
"Censoring comments, calling things ""spam"" and ""off topic"" when they aren't, and being rude in general. @samuelcolvin even went out of his way to thank you for your work.","Censurando comentarios, llamando ""spam"" y ""fuera de tema"" a cosas que no lo son, y siendo grosero en general. @samuelcolvin incluso se tomó la molestia de agradecerte por tu trabajo.","Censoring comments, labelling things as ""spam"" and ""off-topic"" when they aren't, and being generally rude. @samuelcolvin even went to the trouble of thanking you for your work."
"Just because you THINK one way doesn't mean that others THINK another way, there is not an absolutes with ethical concerns. Everything in this repo is 100% open source so I find it really hard to believe that someone would run this Ansible Playbook without investigating what it does.","Solo porque PIENSAS de una manera no significa que otros PIENSEN de otra manera, no hay absolutos en cuanto a preocupaciones éticas. Todo en este repositorio es 100% de código abierto, así que me resulta muy difícil creer que alguien ejecutaría este Ansible Playbook sin investigar lo que hace.","Just because you THINK one way does not mean others THINK differently, there are no absolutes when it comes to ethical concerns. Everything in this repository is 100% open source, so I find it very hard to believe that someone would run this Ansible Playbook without investigating what it does."
Internal viewers are bull.,Los espectadores internos son toros.,The internal spectators are bulls.
There are a zillion much better apps then than shoddy internal nonsense.,Hay un millón de aplicaciones mucho mejores que esas tonterías internas de mala calidad.,There are a million applications much better than those low-quality internal nonsense.
Completely misplaced priorities in this completely dysfunctional piece of shit project that kills the whole NextCloud ecosystem.,Prioridades completamente desubicadas en este proyecto de mierda completamente disfuncional que mata todo el ecosistema de NextCloud.,"Completely misguided priorities in this shitty, completely dysfunctional project that kills the entire NextCloud ecosystem."
Software is shit. Period.,El software es una mierda. Punto.,The software is crap. Period.
"Again. No discussion allowed. No critique allowed. Just pushing fingers into the ears and singing. To avoid hearing about the impending doom, to avoid hearing the truth about the quality of this project. Bye.","De nuevo. No se permite discusión. No se permite críticas. Solo metiendo los dedos en los oídos y cantando. Para evitar escuchar acerca de la inminente condena, para evitar escuchar la verdad sobre la calidad de este proyecto. Adiós.","Again. Discussion is not allowed. Criticism is not allowed. Just sticking fingers in ears and singing. To avoid hearing about the impending sentence, to avoid hearing the truth about the quality of this project. Goodbye."
"Abstinence is the best way to keep from the dangers online! If you can't resist the urge, at least put a condom over your network cable before plugging it in!","La abstinencia es la mejor manera de evitar los peligros en línea. Si no puedes resistir la tentación, al menos pon un condón sobre tu cable de red antes de conectarlo.","Abstinence is the best way to avoid online dangers. If you can't resist temptation, at least put a condom on your network cable before connecting it."
"I get that you're trying to be helpful... but you're not trying very hard. It's obvious most of this list is bullshit,",Entiendo que estás intentando ser útil... pero no estás esforzándote mucho. Es obvio que la mayoría de esta lista es una tontería.,I understand that you're trying to be helpful… but you're not putting in much effort. It's obvious that most of this list is nonsense.
"wow, you are totally right. Why not just fucking drop all the checks and CI tools then if everyone here is a genius that make reliable code 100% of time? Common Lessaire, you can't be that stupid. It's a shock that just yesterday I was talking how intelligent you are. I guess you weren't taught about safe programming at university....","Vaya, tienes totalmente razón. ¿Por qué no simplemente jodemos todos los cheques y herramientas de integración continua si todo el mundo aquí es un genio que hace código confiable el 100% del tiempo? Vamos Lessaire, no puedes ser tan estúpido. Es un shock que justo ayer estaba hablando de lo inteligente que eres. Supongo que no te enseñaron sobre programación segura en la universidad...","Wow, you're completely right. Why don't we just screw all the checks and continuous integration tools if everyone here is a genius that produces reliable code 100% of the time? Come on Lessaire, you can't be that stupid. It's shocking that just yesterday I was talking about how smart you are. I guess they didn't teach you about secure programming in university...."
"What duplicates? Fix the fucking bugs, it's not even duplicated it's a new freaking thread you dumb fuck","¿Qué duplicados? Arregla los malditos errores, ni siquiera está duplicado, es un nuevo maldito hilo, estúpido.","What duplicates? Fix the damn errors, it's not even duplicated, it's a new damn thread, stupid."
Our jumpsuits look like shit. (I know this one isn't used for assistants anymore but it still looks like garbage.),Nuestros monos parecen una mierda. (Sé que este ya no se usa para asistentes pero aún así parece basura.),Our monkeys look like shit. (I know this one is no longer used for assistants but it still looks like trash.).
"As a software engineer, I・・m appalled at the quality of this code and the role its played in public policy. The deficits in testing and quality assurance need to be immediately spoken for to assure the claims made by its data are valid.","Como ingeniero de software, estoy horrorizado por la calidad de este código y el papel que ha desempeñado en las políticas públicas. Las deficiencias en las pruebas y aseguramiento de la calidad necesitan ser abordadas inmediatamente para asegurar que las afirmaciones hechas por sus datos son válidas.","As a software engineer, I am horrified by the quality of this code and the role it has played in public policy. The deficiencies in testing and quality assurance need to be addressed immediately to ensure that the claims made by your data are valid."
He is a cancer to open source and it is only a matter of time before Microsoft cracks down on this thing.,Él es un cáncer para el código abierto y solo es cuestión de tiempo antes de que Microsoft tome medidas contra esto.,He is a cancer to open source and it's only a matter of time before Microsoft takes action against this.
"Of course there is, you just had to solve one of the 30 last exact same issue. #745 is not even solve and it's 2018. Hello There.","Por supuesto que hay, solo tenías que resolver uno de los últimos 30 problemas exactamente iguales. El #745 ni siquiera está resuelto y ya es 2018. Hola..","Of course there is, you only had to solve one of the last 30 identical problems. Problem #745 isn't even solved yet and it's already 2018. Hello..."
"I hope you take this with a grain of salt at some point. For the web components work, as any other standards work, we need to exercise some diplomacy and try to get a positive path to something we want to solve. While I might understand the frustration within the lack of a feature there are some points in this thread that are just not constructive. A different approach would be much more helpful to your case, if your goal is to have the proposed feature available.","Espero que en algún momento tomes esto con un grano de sal. Para que funcionen los componentes web, como cualquier otro trabajo estándar, necesitamos ejercer cierta diplomacia e intentar trazar un camino positivo hacia algo que queremos resolver. Aunque podría entender la frustración por la falta de una característica, hay algunos puntos en esta conversación que simplemente no son constructivos. Un enfoque diferente sería mucho más útil para tu caso, si tu objetivo es tener la característica propuesta disponible.","I hope that at some point you take this with a grain of salt. For web components to work, like any other standard job, we need to exercise some diplomacy and try to chart a positive path towards something we want to solve. Although I could understand the frustration over the lack of a feature, there are some points in this conversation that are simply not constructive. A different approach would be much more useful for your case, if your goal is to have the proposed feature available."
"So as for being warn, i return you the compliment. You are the one who's suppose to help here, your opinion is as irrelevant as you without arguments.","Entonces, en cuanto a ser advertido, te devuelvo el cumplido. Tú eres el que se supone que debe ayudar aquí, tu opinión es tan irrelevante como tú sin argumentos.","So, regarding being warned, I return the compliment. You are the one who is supposed to help here, your opinion is as irrelevant as you without arguments."
You're a disgrace.,Eres una vergüenza.,You are a disgrace.
"Again, this post violates the code of conduct. Please refrain from making comments like this. It・・s not acceptable. You・・ve been warned twice now.","Nuevamente, esta publicación viola el código de conducta. Por favor, absténgase de hacer comentarios como este. No es aceptable. Ya has sido advertido dos veces.","Again, this post violates the code of conduct. Please refrain from making comments like this. It is not acceptable. You have been warned twice already."
"Save it, you we're just to proud and now it's simply pathetic.","Guárdalo, solo estabas demasiado orgulloso y ahora es simplemente patético.","Keep it, you were just too proud and now it's simply pathetic."
"At this point of recalcitrant non-sens i'll just use another technology. You are suppose to be w3c, not our stubborn uncle who knows better then everyone.","En este punto de rebeldía sin sentido, simplemente usaré otra tecnología. Se supone que debes ser w3c, no nuestro tío terco que sabe más que todos.","At this point of senseless rebellion, I'll simply use another technology. You're supposed to be w3c, not our stubborn uncle who knows more than everyone else."
"Maybe you should actually write that down somewhere. You know, like in the documentation. Especially in the Multmatrix section of the documentation to make it clear that this program is incapable of managing all matrix operations. LOL It's half baked.","Quizás deberías realmente apuntarlo en algún lugar. Ya sabes, como en la documentación. Especialmente en la sección Multmatrix de la documentación para dejar claro que este programa es incapaz de manejar todas las operaciones de matriz. LOL Está medio cocido.","Maybe you should really write it down somewhere. You know, like in the documentation. Especially in the Multmatrix section of the documentation to make it clear that this program is incapable of handling all matrix operations. LOL It's half-baked.."
Dont work with fb abd google,No trabajes con fb y google.,Do not work with fb and google.
"learn to communicate with respect and come back. in fact, don't bother.","Aprende a comunicarte con respeto y vuelve. De hecho, no te molestes.","Learn to communicate with respect and come back. In fact, don't bother."
"in fact, you write a shit doc. I'm a real man, it's my feeling of your holy shit doc.","De hecho, escribes un documento de mierda. Soy un hombre de verdad, es mi sensación de tu documento sagrado de mierda.","In fact, you write a shitty document. I am a real man, that's my feeling about your sacred shitty document."
Please don't use Hydra.,"Por favor, no uses Hydra.","Please, do not use Hydra."
