statement,chinese,retranslate
"This is exactly why you are banned: You couldn't display any respect for the rules or the other users in chat, you obviously have little respect or dignity for yourself to act so feral in this issue tracker, you cannot behave and you can't be trusted to act properly in front of minors/general public. Absolutely appalling and disgraceful behaviour.",这正是你被禁止的原因：你没有显示出对聊天规则或其他用户的任何尊重，你显然对自己没有任何尊重或尊严，以至于在这个问题跟踪器中表现得如此野蛮，你不能举止得体，不能被信任在未成年人/公众面前表现得当。绝对令人震惊和丢脸的行为。,"This is exactly why you are banned: you have shown no respect for the chat rules or other users, and obviously, you have no respect or dignity for yourself, to the extent that you behave so rudely in this issue tracker. You can't behave properly, and can't be trusted to act appropriately in front of minors/public. Absolutely shocking and disgraceful behavior."
FUCK OFF,滚开。,Get lost.
my account has booked cuz i just sign up with your fuking tool,我的账户已预订，因为我刚刚使用你们的该死工具注册。,My account has been booked because I just registered using your damn tool.
"Hello, sorry for the inconvenience of using your tools, we are not responsible for the use of our tools!",你好，很抱歉给您使用工具带来的不便，我们对使用我们的工具不负任何责任！,"Hello, we apologize for any inconvenience caused by using our tool, but we do not bear any responsibility for the use of our tool!"
its shit,这是狗屎。,This is dog shit.
retard,智障,"""Mental retardation."" "
"Probably, need to be mentioned in gauge document, as I was stuck on this problem quite long time, and almost want to give up using gauge.",可能需要在计量文档中提及，因为我在这个问题上卡了很长时间，几乎想放弃使用计量工具。,"It may need to be mentioned in the measurement document, because I was stuck on this issue for a long time and almost wanted to give up using the measurement tool."
"In the interest of actually fixing this issue. I'd like to point out to our code of conduct. Especially around showing empathy. There are two options here: Help us fix the issue, either with constructive comments or sending a pull request. Choose another tool which will meet your project's requirement better. But please understand that the contributors are trying their best.",为了真正解决这个问题，我想提醒大家遵守我们的行为准则。尤其是关于显示同理心的部分。 这里有两个选择：帮助我们解决问题，可以是提出建设性的评论，也可以是发送拉取请求。 或者选择另一个更适合你项目需求的工具。但是请理解，贡献者们正在尽全力。,"In order to truly solve this problem, I'd like to remind everyone to adhere to our code of conduct. Especially the part about showing empathy. Here are two options: help us to solve the problem, which could be through providing constructive comments or submitting pull requests. Alternatively, choose another tool that better suits your project requirements. However, please understand that the contributors are doing their best."
It seems like I have been acting like a retard. Sorry.,看起来我一直在表现得像个白痴。对不起。,It seems I've been acting like an idiot. I'm sorry.
What the f are you talking about ? Judging SoC applies the debuff Judgement of the Crusader.,你到底在说什么鬼？评审SoC应用了审判者的审判减益效果。,What on earth are you talking about? The review of SoC applications has applied the judge's judgment debuff effect.
"Yes you are right, I went full retard on this one. Sorry.",是的，你说得对，我在这件事上真的做得过于愚蠢了。对不起。,"Yes, you're right, I was really too foolish about this matter. I'm sorry."
"No peers and network confirmation down.. But token pump on exchange, WTF ?!",没有同行和网络确认已关闭。但是交易所的代币暴涨，这是怎么回事？！,"There's no peer or network confirmation that it's closed. However, the exchange's tokens are skyrocketing, what's going on?!"
Whether the database has been recently VACUUM'd does not affect the integrity of the data or SQL queries -- what you are suggesting is complete nonsense.,数据库是否最近已经执行了VACUUM操作，不会影响数据的完整性或SQL查询 - 你所建议的完全是无稽之谈。,Whether the database has recently performed a VACUUM operation does not affect the integrity of the data or SQL queries - what you suggest is complete nonsense.
"Expect a ban if you absolute idiots continue to spam me with ""me toos"" from issue","如果你们这些绝对的白痴继续用""我也是""的问题来骚扰我，那就预计会被禁止。","""If you absolute idiots continue to harass me with those 'me too' questions, expect to be banned."""
"Colors are horrible for log aggregators, just look at this shit:",颜色对于日志聚合器来说非常糟糕，看看这堆狗屎：,"The color is really bad for the log aggregator, look at this pile of shit:."
every new versoin is worse,每个新版本都更糟糕。,Each new version is worse.
https://github.com/jsxc/jsxc/blob/master/CODE_OF_CONDUCT.md [enforcing CoC],"This is a quite large document, so I will translate the titles and summarize the content generally for you:

1. 我们的承诺 (Our Pledge)
在提供一个对所有人开放、友好、无歧视的环境中，我们作为项目的参与者和维护者，承诺参与此社区的人无论年龄、体型、身体条件、族裔、性别认同和表达、经验水平、教育程度、社会经济地位、国籍、个人外观、种族、宗教(或不信宗教）等，都不会受到歧视或排斥。

2. 我们的标准 (Our Standards)
举例说明有助于创造积极环境的行为包括：使用欢迎和包容性语言，尊重不同的观点和经验，接受建设性批评，关注对社区有益的事情，对其他社区成员表现出同理心等。

3. 执行责任 (Enforcement Responsibilities)
项目维护者有责任诠释和执行这些标准，他们可以永久地移除、编辑或拒绝那些不符合这些标准或者有损于社区环境的评论、提交、代码、Wiki编辑、问题和其他贡献。

4. 执行 (Enforcement)
当有任何参与者违反了这一准则，项目维护者可以进行口头或书面警告、删除非礼貌或不尊重的公开/私密评论、从项目领导者或社区活动中暂时或永久禁止某位有问题的贡献者。

5. 反馈与申诉 (Feedback and Appeal)
如果你对被制裁有所不满或对某项决定有异议，可以向其他项目领导者直接反馈问题。他们会重新评估并决定是否修改或撤销该决定。

6. 宣传 (Attribution)
这个行为准则基于 Citizen Code of Conduct.

Note: This is not a word-by-word interpretation, but I tried to keep the meanings intact. Please follow the actual link for more details.","1. Our Pledge: As participants and maintainers of the project, we pledge to form an open, friendly, and non-discriminatory environment. Participants in this community will not be discriminated against or excluded based on age, physique, physical condition, ethnicity, gender identity and expression, experience level, education, socio-economic status, nationality, personal appearance, race, religion (or lack thereof), etc.

2. Our Standards: Actions that help create a positive environment include using welcoming and inclusive language, respecting different views and experiences, accepting constructive criticism, focusing on things that benefit the community, and showing empathy to other community members.

3. Enforcement Responsibilities: The project maintainers have the responsibility to interpret and enforce these standards. They can permanently remove, edit, or reject comments, submissions, codes, Wiki edits, questions, and other contributions that do not comply with these standards or harm the community environment.

4. Enforcement: When a participant violates these guidelines, the project maintainers can give oral or written warnings, delete impolite or disrespectful public/private comments, and temporarily or permanently ban problematic contributors from project leadership or community activities.

5. Feedback and Appeal: If you are dissatisfied with the sanction or disagree with a decision, you can directly feedback the issue to other project leaders. They will reassess and decide whether to amend or revoke the decision.

6. Attribution: This code of conduct is based on the Citizen Code of Conduct. 

Note: This is not a word-by-word interpretation, but I tried to keep the meanings intact. Please follow the actual link for more details."
I removed TRIFA from my device.,我已经从我的设备上删除了TRIFA。,I have already deleted TRIFA from my device.
Very annoying issue: TRIFA never restore backup of Tox ID created on other devices ! I need to import my already created Tox ID on my qTox but I can not at all !,非常烦人的问题：TRIFA从不恢复在其他设备上创建的Tox ID的备份！我需要将我已经创建的Tox ID导入我的qTox，但我完全无法做到！,"Very annoying problem: TRIFA never restores backups of Tox IDs created on other devices! I need to import the Tox ID I have already created into my qTox, but I just can't do it!"
"Developer of TRIFA do not listen to users & their complains, just ignore them or look their issues ! From my side, this is the last replay from me on this repository & I will never open or read or install any thing from it.",TRIFA的开发者不听取用户及他们的抱怨，只是忽视它们或者看他们的问题！从我这边来说，这将是我在这个仓库的最后一次回复，我将永远不会打开、阅读或安装来自它的任何东西。,"The developers of TRIFA do not listen to users and their complaints, they just ignore them or look at their problems! From my side, this will be my last reply in this repository, I will never open, read, or install anything from it."
shitty package,糟糕的包裹。,Terrible package.
"yall scammers, this is not even a malware or jailbreak",你们都是骗子，这甚至不是恶意软件或越狱。,"You are all liars, this isn't even malware or jailbreak."
Revenue. Fuck you guys.,收入。去你们的。,Income. Go to yours.
Did you miss my comment or what?,你是错过了我的评论还是怎么了？,Did you miss my comment or what?
I removed TRIFA from my device.,我已经从我的设备中删除了TRIFA。,I have already deleted TRIFA from my device.
Very annoying issue: TRIFA never restore backup of Tox ID created on other devices ! I need to import my already created Tox ID on my qTox but I can not at all !,非常烦人的问题：TRIFA从不恢复在其他设备上创建的Tox ID的备份！我需要将我已经创建的Tox ID导入到我的qTox中，但我根本做不到！,"Very annoying problem: TRIFA never recovers backups of Tox IDs created on other devices! I need to import the Tox ID I have already created into my qTox, but I can't do it at all!"
"Developer of TRIFA do not listen to users & their complains, just ignore them or look their issues ! From my side, this is the last replay from me on this repository & I will never open or read or install any thing from it.",TRIFA的开发者不听用户的抱怨，只是无视他们或者忽视他们的问题！就我个人而言，这是我在这个代码库上的最后一条回复，我将永不再打开、阅读或安装任何来自它的东西。,"The developers of TRIFA don't listen to the complaints of the users, they just ignore them or their problems! Personally speaking, this is my last response on this codebase, I will never open, read or install anything from it ever again."
The worst quality products are made with JavaScript. Don't ruin the GTK like this please!,最劣质的产品是用JavaScript制作的。请不要这样破坏GTK！,The worst quality product is made with JavaScript. Please don't ruin GTK like this!
Regarding my background (It's aplpicable to understand my viewpoint) I've been in the BDSM world as a dominant for the better part of the last twenty years. Something we're big on? Consent.,关于我的背景（这对理解我的观点很有帮助），我在过去的二十年里，一直在BDSM世界中作为一个主导者。我们非常重视什么？那就是同意。,"About my background (which is helpful for understanding my viewpoint), I have been a dominator in the BDSM world for the past twenty years. What do we value most? That is consent."
"You think that matters when an abusive asshole is messing with someone's head? terms like 'gaslighting' are popular, but the correct one is psychological manipulation.","你认为当一个滥用他人的混蛋在搞乱别人的头脑时，这些事情重要吗？诸如“心理操控”的术语很流行，但正确的应该是心理操纵。
","Do you think it's important when a jerk who abuses others messes with their minds? Terms like ""psychological manipulation"" are popular, but the correct one should be psychological manipulation."
"I mean, Hyptohyetically, we're talking the grooming of underage girls here, if we want some hyperbole. Which might not be.",我的意思是，纯粹假设，我们在这里讨论的是对未成年女孩的诱导，如果我们需要一些夸张的说法。这也许不是...,"What I mean is, hypothetically speaking, we are discussing here the enticement of underage girls if we need some exaggerated statements. This may not be..."
No shit. You still haven't explained why there's Hide AND Remove.,"没错。你还没有解释为什么这里有""隐藏""和""删除""两项功能。","That's right. You still haven't explained why there are ""hide"" and ""delete"" two functions here."
"Just accept the truth, you have so much garbage in the context menu and it needs to get cleaned up. If you got rid of Remove and Info, nobody would bat an eye.",只接受事实吧，你的上下文菜单中有太多垃圾需要清理。如果你把“删除”和“信息”去掉，没人会在意的。,"Just accept the fact, there are too many junk in your context menu that need cleaning up. If you remove ""delete"" and ""information"", no one would care."
Like you can literally go fuck yourself,就像你可以真的去自己搞自己。,Just like you can really mess with yourself.
"If you don't cater to non-native apps, you should atleast actually OFFER Apps that fit with your ideas BUT YOU EFFING DONT. Talk about being arrogant asshats.",如果你们不迁就非本地应用，你们至少应该提供符合你们理念的应用——但你们却偏偏没有。简直是傲慢无理的混蛋。,"If you're not going to accommodate non-native apps, you should at least provide apps that align with your philosophy - but you just don't. You are just arrogant, unreasonable jerks."
don't give such a dumb suggestions that don't work better than clicking dedicated button with a mouse.,不要给出这样愚蠢的建议，它们甚至不如用鼠标点击专用按钮来得更有效。,"Don't give such foolish advice, it's even less effective than using a mouse to click a dedicated button."
"""We want to improve people's experience"". What a bullshit.","""我们想要改善人们的体验”。真是胡说八道。","""We want to improve people's experiences."" What nonsense."
Cut the free speech?,削减言论自由？,Cutting down freedom of speech?
"I'd like to be really clear that our policy is not to lock threads where there are dissenting opinions. Respectful debate is healthy and important. But when you start calling names and being disrespectful and disregarding the code of conduct, the discussion becomes unproductive. This kind of destructive behavior is not tolerated in our community.",我想明确表示，我们的政策并不是在存在异议的情况下锁定讨论线程。尊重性的辩论是健康且重要的。但是，当你开始人身攻击，表现出不尊重并忽视行为规范时，讨论变得毫无意义。我们的社区不容忍这种破坏性的行为。,"I want to make it clear that our policy is not to lock discussion threads when there are disagreements. Respectful debate is healthy and important. However, when you start personal attacks, show disrespect and ignore norms of behavior, the discussion becomes meaningless. Our community does not tolerate such destructive behavior."
"The problem is your team forcing us to use the OS the way you want us to use it although it makes it 1000000 times harder to use it your way, than what would be convenient for us.",问题在于你们的团队强迫我们按照你们的方式使用操作系统，尽管这使得按照你们的方式使用它比我们觉得方便的方式难了一百万倍。,"The issue lies in your team forcing us to use the operating system in your way, even though this makes using it in your way a million times harder than the way we find convenient."
BSV is trash.,BSV是垃圾。,BSV is garbage.
why use BSV... Use BTC,为什么使用BSV... 使用BTC。,Why use BSV... Use BTC.
"I file an issue, maintainers close, reopen, again close - whilst ignoring the essence of the issue.",我提出一个问题，维护者关闭、重新开启、再次关闭 - 而忽视了问题的实质。,"I raised a question, but the maintainer closed, reopened, and closed it again - ignoring the substance of the question."
"I need to inform you that we have found your language and tone to be in violation of our stated Code of Conduct. Specifically, the above comment (among other interactions you have thus far made) is unwelcoming, insulting, and overall inappropriate for this community. This is an official warning to adhere to our Code of Conduct, and any further violations will result in escalated action, including but not limited to being banned from this project.",我需要通知您，我们发现您的语言和语气违反了我们明确提出的行为准则。具体来说，您至今所做的交流中（包括上述评论），无礼、侮辱性质的，以及在这个社区中不适当的表现均被涉及。这是对遵守我们的行为准则的正式警告，任何进一步的违规行为将导致我们采取更严厉的措施，包括但不限于从这个项目中禁止您的参与。,"I need to inform you that we have found your language and tone to be in violation of the behavioral guidelines we have explicitly set forth. Specifically, in every interaction you've had so far (including the aforementioned comments), disrespectful, insulting behavior, and inappropriate displays in this community have been involved. This is a formal warning to abide by our behavioral guidelines, any further violations will lead us to take more severe measures, including but not limited to banning your participation in this project."
"What else, beyond banning me, will you do? I will neither change my language, nor my tone or style. Both, language and tone, are perfectly valid, given the circumstances. I will remain myself, and will repel this attack to my individuality.",除了禁止我之外，你还会采取什么行动？我既不会改变我的语言，也不会改变我的语气或风格。在这种情况下，语言和语气都是完全合理的。我将始终保持自我，并将抵制对我的个性的攻击。,"What other measures will you take besides banning me? I will neither change my language, nor my tone or style. In this situation, both language and tone are completely reasonable. I will always stay true to myself, and I will resist any attacks on my personality."
"This software is not well reviewed and is useless. There is no clear manual on how to make the application, which is more serious",这款软件评价不好，毫无用处。没有明确的手册说明如何制作应用程序，这更是问题严重。,"The reviews for this software are poor, it's completely useless. There's not even a clear instruction manual on how to make an application, which makes the problem even worse."
"it always crashes, it refuses to accept any user made settings and discards user settings and uses it's own crappy settings.",它总是崩溃，拒绝接受任何用户自定义的设置，丢弃用户的设置，使用自己糟糕的设置。,"It always crashes, refuses to accept any user-customized settings, discards the user's settings, and uses its own terrible settings."
Worlds worst program and i will spam where the fuck i want,世界上最糟糕的程序，我想在哪里发送垃圾信息就在哪里发送。,"The worst program in the world, I want to send spam wherever I want to send it."
"I've blocked this user, hopeless case, whatever his talent is, it's not technical or social, unbelievable.",我已经拉黑了这个用户，真是一个无可救药的案例，不管他有什么才能，肯定既不是技术方面的，也不是社交方面的，难以置信。,"I've already blocked this user, a truly hopeless case. No matter what skills they may have, they definitely are not in neither technical nor social aspects. It's unbelievable."
It is really ugly to see app locked in portrait in 2020,在2020年看到应用程序被锁定在竖屏模式真的很丑陋。,Seeing applications locked in portrait mode in 2020 is really ugly.
"How would be this a priority, the app must be ready to be shipped in a few days and basically no one uses the smartphone in landscape mode except for watching media.",这怎么会是优先事项呢？应用程序必须在几天内准备好发货，而且基本上除了观看媒体外，没有人使用智能手机的横屏模式。,"How can this be a priority? The application must be ready for shipment within a few days, and basically, no one uses the landscape mode of smartphones other than for watching media."
"Also, there are people with disabilities that cannot rotate mobile phone and prefer to have landscape mode.",此外，有些残疾人士无法旋转手机，更喜欢使用横屏模式。,"Moreover, some disabled people can't rotate their phones and prefer to use landscape mode."
"""Don't tell me what to do and I'll not tell You where to f-off"" (proverb) I use tools regardless of a fashion trends or a marketing bullshit.","""不要告诉我应该做什么，我也不会告诉你去哪儿滚蛋""（谚语）我使用工具，不管时尚潮流或市场上的胡言乱语。","""Don't tell me what to do, and I won't tell you where to go"" (proverb). I use tools, regardless of fashion trends or nonsense on the market."
And yes: that means you won't get any help for me regarding that issue. I will not encourage the use of XP.,是的：这意味着关于那个问题你不会从我这里得到任何帮助。我不会鼓励使用XP。,Yes: this means you will not receive any help from me regarding that issue. I will not encourage the use of XP.
did this fix the annoying pulse audio bullshit?,这解决了讨厌的脉冲音频的问题吗？,Does this solve the problem of the annoying pulse audio?
"Sorry to nag and sound negative, pyflakes is great and I know how thankless maintaining OS libraries like this can be. Thank you all for your hard work.",对不起，我可能听起来有些唠叨和负面，但pyflakes真的很好用，我知道维护像这样的操作系统库可能是没有回报的。感谢你们所有人的辛勤工作。,"I'm sorry if I may sound a bit nagging and negative, but pyflakes is really useful. I understand that maintaining an operating system library like this may be thankless. Thank you all for your hard work."
it's very disappointing to see this sort of behavior on a project this important. You and the other maintainers should strongly consider adding a code of conduct to this repo and following it.,看到这种行为出现在如此重要的项目中，真是令人非常失望。你和其他的维护者应该强烈考虑在这个仓库中增加行为准则并且遵守它。,Seeing such behavior occur in such an important project is really disappointing. You and other maintainers should strongly consider adding a code of conduct to this repository and adhere to it.
"Censoring comments, calling things ""spam"" and ""off topic"" when they aren't, and being rude in general. @samuelcolvin even went out of his way to thank you for your work.",审查评论，错误地将内容标记为“垃圾信息”和“离题”，以及总体上的粗鲁行为。@samuelcolvin 甚至特地感谢了你的工作。,"Reviewing comments, wrongly marking content as ""spam"" and ""off-topic"", and overall rude behavior. @samuelcolvin even specifically thanked you for your work."
"Just because you THINK one way doesn't mean that others THINK another way, there is not an absolutes with ethical concerns. Everything in this repo is 100% open source so I find it really hard to believe that someone would run this Ansible Playbook without investigating what it does.",你认为某种方式，并不意味着他人也会按另一种方式思考，对于道德问题，没有绝对的标准。在这个仓库中的所有东西都是100%的开源，所以我很难相信有人会运行这个Ansible剧本而不研究它的作用。,"Just because you think in a certain way does not mean that others will think in another way. When it comes to moral issues, there is no absolute standard. Everything in this repository is 100% open source, so I find it hard to believe that someone would run this Ansible playbook without studying its function."
Internal viewers are bull.,内部观察者是胡说。,The internal observer is nonsense.
There are a zillion much better apps then than shoddy internal nonsense.,有数以百万计的应用程序比这种劣质的内部胡说八道要好得多。,There are millions of applications that are much better than this kind of poor internal nonsense.
Completely misplaced priorities in this completely dysfunctional piece of shit project that kills the whole NextCloud ecosystem.,在这个完全失灵的垃圾项目中，所有的优先事项都被完全错置了，这完全摧毁了整个NextCloud生态系统。,"In this completely malfunctioning garbage project, all priorities have been completely misplaced, totally destroying the entire NextCloud ecosystem."
Software is shit. Period.,软件就是垃圾。就这样。,The software is just trash. That's it.
"Again. No discussion allowed. No critique allowed. Just pushing fingers into the ears and singing. To avoid hearing about the impending doom, to avoid hearing the truth about the quality of this project. Bye.",再一次。不允许讨论。不允许批评。只是把手指塞进耳朵唱歌。为了避免听到即将来临的灾难，为了避免听到关于这个项目质量的真相。再见。,"Once again. No discussion allowed. No criticism allowed. Just stick your fingers in your ears and sing. To avoid hearing about the impending disaster, to avoid hearing the truth about the quality of this project. Goodbye."
"Abstinence is the best way to keep from the dangers online! If you can't resist the urge, at least put a condom over your network cable before plugging it in!",禁欲是避免网路危险的最佳方式！如果你无法抵抗诱惑，至少在插入网络线之前套一个避孕套。,"Abstinence is the best way to avoid internet dangers! If you can't resist temptation, at least use a protective measure before connecting to the internet."
"I get that you're trying to be helpful... but you're not trying very hard. It's obvious most of this list is bullshit,",我明白你在尽力帮忙...但你的努力程度似乎并不高。很明显，这个清单大部分都是胡说八道。,"I understand you are trying to help... but it seems like your efforts are not that great. Clearly, most of the items on this list are nonsense."
"wow, you are totally right. Why not just fucking drop all the checks and CI tools then if everyone here is a genius that make reliable code 100% of time? Common Lessaire, you can't be that stupid. It's a shock that just yesterday I was talking how intelligent you are. I guess you weren't taught about safe programming at university....",哇，你完全正确。如果这里的每个人都是天才，能够100%的时间编写出可靠的代码，那为什么不直接把所有检查和CI工具都丢掉呢？ Lessaire，你不能那么愚蠢。真让人震惊，就在昨天我还在谈论你有多聪明。我猜你在大学里没有被教到安全编程的知识。。。,"Wow, you're absolutely correct. If everyone here is a genius, able to write reliable code 100% of the time, then why not just throw away all the checks and CI tools? Lessaire, you can't be that stupid. It's shocking, just yesterday I was talking about how smart you are. I guess you weren't taught about safe programming in college..."
"What duplicates? Fix the fucking bugs, it's not even duplicated it's a new freaking thread you dumb fuck",重复的是什么？去修复那些该死的错误，这甚至不是重复的，这是一个新的该死的线程，你个蠢货。,"What is the repetition? Go fix those damn errors, this isn't even a repetition, this is a new damn thread, you idiot."
Our jumpsuits look like shit. (I know this one isn't used for assistants anymore but it still looks like garbage.),我们的连体衣看起来像屎。(我知道这个已经不再用于助手了，但它仍然看起来像垃圾。),"Our jumpsuit looks like shit. (I know this is no longer used for the assistant, but it still looks like garbage.)"
"As a software engineer, I・・m appalled at the quality of this code and the role its played in public policy. The deficits in testing and quality assurance need to be immediately spoken for to assure the claims made by its data are valid.",作为一个软件工程师，我对这段代码的质量和其在公共政策中所起的作用感到震惊。测试和质量保证的缺陷需要立即被说明，以确保其数据所做的声明是有效的。,"As a software engineer, I am shocked by the quality of this code and its role in public policy. The deficiencies in testing and quality assurance need to be clarified immediately to ensure that the statements made by its data are valid."
He is a cancer to open source and it is only a matter of time before Microsoft cracks down on this thing.,他就是开源的癌症，微软对此事的打击只是时间问题。,"He is the cancer of open source, it's only a matter of time before Microsoft strikes at this issue."
"Of course there is, you just had to solve one of the 30 last exact same issue. #745 is not even solve and it's 2018. Hello There.",当然有，你只需要解决最后30个相同的问题之一。 #745甚至还没解决，而现在已经是2018年了。你好。,"Of course there is, you just need to solve one of the last 30 identical problems. #745 hasn't even been solved yet, and it's already 2018. Hello."
"I hope you take this with a grain of salt at some point. For the web components work, as any other standards work, we need to exercise some diplomacy and try to get a positive path to something we want to solve. While I might understand the frustration within the lack of a feature there are some points in this thread that are just not constructive. A different approach would be much more helpful to your case, if your goal is to have the proposed feature available.",我希望你能在某个时候对此持有一种怀疑的态度。对于网络组件的工作，就像其他任何标准的工作一样，我们需要行使一些外交手段，并试图找到一个积极的途径来解决我们想要解决的问题。虽然我可能理解缺乏功能带来的挫败感，但是这个话题中的一些观点实在不具有建设性。如果你的目标是让建议的功能可用，那么采取不同的方法将更有助于你的案例。,"I hope you can hold a skeptical attitude towards this at some point. For network components to work, just like any other standard job, we need to exercise some diplomacy and try to find a positive way to solve the problems we want to solve. Although I may understand the frustration brought by the lack of features, some views on this topic are not constructive. If your goal is to make the suggested features available, then adopting a different approach will be more beneficial to your case."
"So as for being warn, i return you the compliment. You are the one who's suppose to help here, your opinion is as irrelevant as you without arguments.",所以关于被警告，我回报你同样的恭维。你是应该在这里帮助的人，你的观点如果没有论据来支持就像你一样无关紧要。,"So about being warned, I respond to you with the same courtesy. You are the person who should be providing help here. Your viewpoint is as irrelevant as you are if there isn't argument to support it."
You're a disgrace.,你真是丢人。,You are really embarrassing.
"Again, this post violates the code of conduct. Please refrain from making comments like this. It・・s not acceptable. You・・ve been warned twice now.",再次，这篇帖子违反了行为准则。请不要再发表此类评论，这是不可接受的。现在你已经被警告了两次。,"Again, this post has violated the code of conduct. Please do not make such comments again, this is unacceptable. Now you have been warned twice."
"Save it, you we're just to proud and now it's simply pathetic.",把它保存吧，你只是过于骄傲，现在简直可悲。,"Save it, you're just overly proud, it's simply pathetic now."
"At this point of recalcitrant non-sens i'll just use another technology. You are suppose to be w3c, not our stubborn uncle who knows better then everyone.",在这种顽固无理的情况下，我只能选择使用另一种技术。你应该是w3c，而不是一个自以为是的顽固叔叔，自认为比所有人都懂。,"In this stubborn and unreasonable situation, I can only choose to use another technique. You should be w3c, not a self-righteous stubborn uncle who thinks he knows better than everyone else."
"Maybe you should actually write that down somewhere. You know, like in the documentation. Especially in the Multmatrix section of the documentation to make it clear that this program is incapable of managing all matrix operations. LOL It's half baked.",也许你应该真正把那些东西记下来。你知道，比如在文档中。尤其是在文档的Multmatrix部分，明确指出这个程序无法管理所有的矩阵操作。笑死我了，这简直是半成品。。,"Perhaps you should really write those things down. You know, like in a document. Especially in the Multmatrix section of the document, it specifically points out that this program cannot manage all matrix operations. It's hilarious, this is simply half-baked."
Dont work with fb abd google,不要与脸书和谷歌合作。,Do not cooperate with Facebook and Google.
"learn to communicate with respect and come back. in fact, don't bother.",学会尊重地沟通然后再回来。事实上，别费心了。,"Learn to communicate respectfully and then come back. In fact, don't bother."
"in fact, you write a shit doc. I'm a real man, it's my feeling of your holy shit doc.",实际上，你写的文档简直糟透了。我是个真男人，这就是我对你那烂透了的文档的感受。,"In fact, the document you wrote is simply terrible. I am a real man, and this is how I feel about your rotten document."
Please don't use Hydra.,请不要使用Hydra。,Please do not use Hydra.
"when I try to make a cluster, couchdb drains my life force and tries to make me commit suicide",当我尝试创建一个集群时，CouchDB耗尽了我的生命力并试图让我自杀。,"When I tried to create a cluster, CouchDB drained my vitality and tried to make me commit suicide."
widevine is shit,widevine 是垃圾。,Widevine is garbage.
