statement,indonesian,retranslate
Very annoying issue: TRIFA never restore backup of Tox ID created on other devices ! I need to import my already created Tox ID on my qTox but I can not at all !,Masalah yang sangat mengganggu: TRIFA tidak pernah mengembalikan cadangan Tox ID yang dibuat di perangkat lain! Saya perlu mengimpor Tox ID yang sudah saya buat di qTox saya tetapi saya tidak bisa sama sekali!.,A highly disturbing problem: TRIFA never returns the Tox ID backup made on another device! I need to import the Tox ID that I've created in my qTox but I just can't do it at all!..
"Developer of TRIFA do not listen to users & their complains, just ignore them or look their issues ! From my side, this is the last replay from me on this repository & I will never open or read or install any thing from it.","Pengembang TRIFA tidak mendengarkan pengguna & keluhan mereka, hanya mengabaikannya atau melihat masalah mereka! Dari sisi saya, ini adalah balasan terakhir dari saya di repositori ini & saya tidak akan pernah membuka atau membaca atau menginstal apa pun dari itu.","The developers of TRIFA do not listen to the users & their complaints, just ignore them or look at their problems! From my side, this is my last response in this repository & I will never open or read or install anything from it."
shitty package,paket buruk,bad package.
"yall scammers, this is not even a malware or jailbreak","kalian penipu, ini bahkan bukan malware atau jailbreak.","You all are fraudsters, this is not even malware or jailbreak.."
Revenue. Fuck you guys.,Pendapatan. Sialan kalian..,Income. Damn you...
Did you miss my comment or what?,Apakah kamu melewatkan komentar saya atau bagaimana?,Did you miss my comment or what?
I removed TRIFA from my device.,Saya menghapus TRIFA dari perangkat saya.,I have removed TRIFA from my device.
Very annoying issue: TRIFA never restore backup of Tox ID created on other devices ! I need to import my already created Tox ID on my qTox but I can not at all !,Masalah yang sangat menjengkelkan: TRIFA tidak pernah memulihkan cadangan Tox ID yang dibuat di perangkat lain! Saya perlu mengimpor Tox ID yang sudah saya buat di qTox saya tetapi saya sama sekali tidak bisa!,A very annoying problem: TRIFA never recovers the Tox ID backup made on another device! I need to import the Tox ID that I've created on my qTox but I absolutely can't!
"Developer of TRIFA do not listen to users & their complains, just ignore them or look their issues ! From my side, this is the last replay from me on this repository & I will never open or read or install any thing from it.","Pengembang TRIFA tidak mendengarkan pengguna & keluhan mereka, hanya mengabaikan mereka atau melihat masalah mereka! Dari sisi saya, ini adalah balasan terakhir dari saya di repositori ini & saya tidak akan pernah membuka atau membaca atau menginstal apa pun dari itu..","The TRIFA developers do not listen to users and their complaints, just ignoring them or overlooking their problems! From my side, this is my final response on this repository & I will never open, read or install anything from it..."
The worst quality products are made with JavaScript. Don't ruin the GTK like this please!,"Produk berkualitas terburuk dibuat dengan JavaScript. Jangan merusak GTK seperti ini, tolong!","The worst quality product is made with JavaScript. Don't ruin GTK like this, please!"
Regarding my background (It's aplpicable to understand my viewpoint) I've been in the BDSM world as a dominant for the better part of the last twenty years. Something we're big on? Consent.,"Mengenai latar belakang saya (Ini penting untuk memahami sudut pandang saya), saya telah berada di dunia BDSM sebagai orang yang dominan sebagian besar dari dua puluh tahun terakhir. Sesuatu yang kita tekankan? Persetujuan.","Regarding my background (which is crucial to understand my perspective), I have been in the BDSM world as a dominant individual for the majority of the last twenty years. Something that we emphasize? Consent."
"You think that matters when an abusive asshole is messing with someone's head? terms like 'gaslighting' are popular, but the correct one is psychological manipulation.","Anda pikir itu penting ketika seorang bajingan yang kasar sedang mempermainkan pikiran seseorang? istilah seperti 'gaslighting' populer, tetapi yang benar adalah manipulasi psikologis.","Do you think it's important when a rough jerk is messing with someone's mind? Terms like 'gaslighting' are popular, but the correct term is psychological manipulation."
"I mean, Hyptohyetically, we're talking the grooming of underage girls here, if we want some hyperbole. Which might not be.","Saya maksudkan, secara hipotetis, kita sedang membicarakan soal penc grooming perempuan di bawah umur di sini, jika kita ingin sedikit berlebihan. Yang mungkin bukan..","What I mean is, hypothetically, we are discussing the grooming of underage females here, if we want to exaggerate a bit. Which might not be..."
No shit. You still haven't explained why there's Hide AND Remove.,Tidak bercanda. Kamu masih belum menjelaskan mengapa ada Sembunyikan DAN Hapus..,No kidding. You still haven't explained why there is Hide AND Delete...
"Just accept the truth, you have so much garbage in the context menu and it needs to get cleaned up. If you got rid of Remove and Info, nobody would bat an eye.","Hanya terima kenyataannya, Anda memiliki begitu banyak sampah di menu konteks dan itu perlu dibersihkan. Jika Anda menghilangkan Remove dan Info, tidak ada yang akan berkedip.","Just accept the fact, you have so much trash in your context menu and it needs to be cleaned up. If you remove 'Remove' and 'Info', no one will blink an eye."
Like you can literally go fuck yourself,Seperti kamu benar-benar bisa pergi menjahanamkan dirimu sendiri.,As if you could really go ruin yourself..
"If you don't cater to non-native apps, you should atleast actually OFFER Apps that fit with your ideas BUT YOU EFFING DONT. Talk about being arrogant asshats.","Jika Anda tidak melayani aplikasi non-native, Anda seharusnya setidaknya BENAR-BENAR MENAWARKAN Aplikasi yang sesuai dengan ide Anda TAPI ANDA SIALAN TIDAK MELAKUKANNYA. Bicara tentang menjadi sombong dan bodoh..","If you don't support non-native apps, you should at least REALLY OFFER apps that align with your idea BUT YOU DAMN DON'T DO IT. Talk about being arrogant and foolish..."
don't give such a dumb suggestions that don't work better than clicking dedicated button with a mouse.,Jangan berikan saran yang begitu bodoh yang tidak bekerja lebih baik daripada mengklik tombol khusus dengan mouse.,Do not give such foolish advice that does not work better than clicking a special button with the mouse.
"""We want to improve people's experience"". What a bullshit.","""Kami ingin meningkatkan pengalaman orang-orang"". Benar-benar omong kosong.","""We want to enhance people's experience"". Utter nonsense..."
Cut the free speech?,Memotong kebebasan berbicara?,Cutting freedom of speech?
"I'd like to be really clear that our policy is not to lock threads where there are dissenting opinions. Respectful debate is healthy and important. But when you start calling names and being disrespectful and disregarding the code of conduct, the discussion becomes unproductive. This kind of destructive behavior is not tolerated in our community.","Saya ingin menjelaskan dengan sangat jelas bahwa kebijakan kami bukan untuk mengunci thread di mana ada pendapat yang berbeda. Debat yang penuh rasa hormat adalah hal yang sehat dan penting. Tetapi ketika Anda mulai memanggil nama dan tidak menghormati dan mengabaikan kode etik, diskusi menjadi tidak produktif. Jenis perilaku destruktif ini tidak ditoleransi dalam komunitas kami.","I want to explain very clearly that our policy is not to lock threads where there are different opinions. Respectful debates are healthy and important. But when you start name-calling and disrespecting and ignoring the code of ethics, the discussion becomes unproductive. This type of destructive behavior is not tolerated in our community."
"The problem is your team forcing us to use the OS the way you want us to use it although it makes it 1000000 times harder to use it your way, than what would be convenient for us.","Masalahnya adalah tim Anda memaksa kami untuk menggunakan OS sesuai dengan cara yang Anda inginkan, meskipun ini membuatnya 1000000 kali lebih sulit untuk menggunakannya dengan cara Anda, daripada apa yang akan nyaman untuk kami.","The problem is your team is forcing us to use the OS the way you want, even though it makes it a million times harder for us to use it your way, rather than what would be comfortable for us."
BSV is trash.,BSV adalah sampah.,BSV is garbage.
why use BSV... Use BTC,Mengapa menggunakan BSV... Gunakan BTC.,Why use BSV... Use BTC..
"I file an issue, maintainers close, reopen, again close - whilst ignoring the essence of the issue.","Saya mengajukan masalah, pengelola menutup, membuka kembali, lagi menutup - sementara mengabaikan inti dari masalah tersebut.","I raised an issue, the manager closed it, reopened it, closed it again - all while ignoring the core of the problem."
"I need to inform you that we have found your language and tone to be in violation of our stated Code of Conduct. Specifically, the above comment (among other interactions you have thus far made) is unwelcoming, insulting, and overall inappropriate for this community. This is an official warning to adhere to our Code of Conduct, and any further violations will result in escalated action, including but not limited to being banned from this project.","Saya perlu memberi tahu Anda bahwa kami telah menemukan bahasa dan nada Anda melanggar Kode Etik yang telah kami sebutkan. Secara khusus, komentar di atas (di antara interaksi lain yang telah Anda lakukan sejauh ini) adalah tidak ramah, menghina, dan secara keseluruhan tidak pantas untuk komunitas ini. Ini adalah peringatan resmi untuk mematuhi Kode Etik kami, dan pelanggaran lebih lanjut akan mengakibatkan tindakan yang lebih tegas, termasuk tetapi tidak terbatas pada dilarang dari proyek ini.","I need to inform you that we have found your language and tone to be in violation of the Code of Conduct that we have mentioned. Specifically, the comments above (among other interactions you have made so far) are unfriendly, insulting, and overall inappropriate for this community. This is an official warning to comply with our Code of Conduct, and further violations will result in more severe actions, including but not limited to being banned from this project."
"What else, beyond banning me, will you do? I will neither change my language, nor my tone or style. Both, language and tone, are perfectly valid, given the circumstances. I will remain myself, and will repel this attack to my individuality.","Apa lagi, selain melarang saya, yang akan Anda lakukan? Saya tidak akan mengubah bahasa saya, tone, atau gaya saya. Baik bahasa dan nada, semuanya sempurna valid, mengingat keadaannya. Saya akan tetap menjadi diri saya sendiri, dan akan menolak serangan ini terhadap individualitas saya.","What else, besides forbidding me, will you do? I will not change my language, tone, or my style. Both language and tone, everything is perfectly valid, considering the circumstances. I will remain myself, and will reject this attack on my individuality."
"This software is not well reviewed and is useless. There is no clear manual on how to make the application, which is more serious","Perangkat lunak ini tidak ditinjau dengan baik dan tidak berguna. Tidak ada manual yang jelas tentang cara membuat aplikasi, yang lebih serius.","This software is not well-reviewed and is useless. There's no clear manual on how to create applications, which is more serious."
"it always crashes, it refuses to accept any user made settings and discards user settings and uses it's own crappy settings.","Selalu mengalami crash, menolak menerima pengaturan apa pun yang dibuat pengguna dan membuang pengaturan pengguna dan menggunakan pengaturan buruknya sendiri.","Always experiencing crashes, refusing to accept any settings made by the user and discarding user settings and using its own bad settings."
Worlds worst program and i will spam where the fuck i want,Program terburuk di dunia dan saya akan spam di mana saja yang saya inginkan.,The worst program in the world and I will spam anywhere I want.
"I've blocked this user, hopeless case, whatever his talent is, it's not technical or social, unbelievable.","Saya telah memblokir pengguna ini, kasus tanpa harapan, apapun bakatnya, itu bukan teknis atau sosial, tidak bisa dipercaya..","I have blocked this user, a hopeless case, whatever their talent is, it's not technical or social, can't be trusted..."
It is really ugly to see app locked in portrait in 2020,Sangat buruk melihat aplikasi terkunci dalam mode potret di tahun 2020.,It's very bad to see the application locked in portrait mode in 2020.
"How would be this a priority, the app must be ready to be shipped in a few days and basically no one uses the smartphone in landscape mode except for watching media.","Bagaimana ini bisa menjadi prioritas, aplikasi harus siap dikirim dalam beberapa hari dan pada dasarnya tidak ada yang menggunakan smartphone dalam mode lanskap kecuali untuk menonton media.","How can this be a priority, the application must be ready to be sent in a few days and essentially no one uses a smartphone in landscape mode except for watching media."
"Also, there are people with disabilities that cannot rotate mobile phone and prefer to have landscape mode.","Juga, ada orang-orang yang memiliki keterbatasan fisik yang tidak bisa memutar ponsel dan lebih memilih untuk menggunakan mode lanskap.","Also, there are people who have physical limitations that prevent them from rotating their phones and prefer to use landscape mode."
"""Don't tell me what to do and I'll not tell You where to f-off"" (proverb) I use tools regardless of a fashion trends or a marketing bullshit.","""Jangan beritahu saya apa yang harus dilakukan dan saya tidak akan memberitahu Anda di mana harus pergi jauh-jauh"" (peribahasa) Saya menggunakan alat terlepas dari tren mode atau omong kosong pemasaran..","""Do not tell me what to do and I will not tell you where to go far away"" (proverb) I use the tool regardless of fashion trends or marketing nonsense..."
And yes: that means you won't get any help for me regarding that issue. I will not encourage the use of XP.,Dan ya: itu berarti kamu tidak akan mendapatkan bantuan dari saya mengenai masalah itu. Saya tidak akan mendorong penggunaan XP.,Dan ya: that means you won't get any help from me regarding that issue. I will not promote the use of XP.
did this fix the annoying pulse audio bullshit?,Apakah ini memperbaiki omong kosong audio pulsa yang menjengkelkan?.,Does this fix the annoying audio pulse nonsense?
"Sorry to nag and sound negative, pyflakes is great and I know how thankless maintaining OS libraries like this can be. Thank you all for your hard work.","Maaf jika saya mengomel dan terdengar negatif, pyflakes sangat bagus dan saya tahu betapa beratnya mempertahankan perpustakaan OS seperti ini. Terima kasih semua atas kerja keras kalian.","Sorry if I grumbled and sounded negative, pyflakes is really great and I know how hard it is to maintain an OS library like this. Thank you all for your hard work."
it's very disappointing to see this sort of behavior on a project this important. You and the other maintainers should strongly consider adding a code of conduct to this repo and following it.,Sangat mengecewakan melihat perilaku semacam ini pada proyek yang sangat penting. Anda dan pemelihara lainnya harus sangat mempertimbangkan untuk menambahkan kode etik ke repo ini dan mengikutinya.,It's very disappointing to see such behavior on such an important project. You and the other maintainers should seriously consider adding a code of ethics to this repo and following it.
"Censoring comments, calling things ""spam"" and ""off topic"" when they aren't, and being rude in general. @samuelcolvin even went out of his way to thank you for your work.","Mensensor komentar, menyebut hal-hal ""spam"" dan ""tidak relevan"" ketika sebenarnya tidak, dan bersikap kasar pada umumnya. @samuelcolvin bahkan dengan sengaja berterima kasih kepada Anda atas pekerjaan Anda.","Censoring comments, calling things ""spam"" and ""irrelevant"" when they actually aren't, and generally being rude. @samuelcolvin even deliberately thanks you for your work.."
"Just because you THINK one way doesn't mean that others THINK another way, there is not an absolutes with ethical concerns. Everything in this repo is 100% open source so I find it really hard to believe that someone would run this Ansible Playbook without investigating what it does.","Hanya karena Anda BERPIKIR satu cara tidak berarti orang lain BERPIKIR dengan cara lain, tidak ada yang absolut dalam hal etika. Semuanya dalam repo ini 100% open source jadi saya merasa sangat sulit untuk percaya bahwa seseorang akan menjalankan Ansible Playbook ini tanpa menyelidiki apa yang dilakukannya.","Just because you THINK one way doesn't mean others THINK another way, there is nothing absolute in terms of ethics. Everything in this repository is 100% open source so I find it very hard to believe that someone would run this Ansible Playbook without investigating what it does."
Internal viewers are bull.,Penonton internal adalah omong kosong.,The internal audience is nonsense.
There are a zillion much better apps then than shoddy internal nonsense.,Ada sejuta aplikasi yang jauh lebih baik daripada omong kosong internal yang jelek.,There are a million apps that are much better than the lousy internal nonsense.
Completely misplaced priorities in this completely dysfunctional piece of shit project that kills the whole NextCloud ecosystem.,Prioritas yang sepenuhnya salah tempat dalam proyek sampah yang benar-benar disfungsi ini yang menghancurkan seluruh ekosistem NextCloud.,A completely misplaced priority in this truly dysfunctional trash project that destroys the entire NextCloud ecosystem.
Software is shit. Period.,Perangkat lunak itu sampah. Titik.,That software is garbage. Period.
"Again. No discussion allowed. No critique allowed. Just pushing fingers into the ears and singing. To avoid hearing about the impending doom, to avoid hearing the truth about the quality of this project. Bye.","Lagi. Tidak ada diskusi yang diperbolehkan. Tidak boleh ada kritik. Hanya menutup telinga dengan jari dan bernyanyi. Untuk menghindari mendengar tentang malapetaka yang mendekat, untuk menghindari mendengar kebenaran tentang kualitas proyek ini. Selamat tinggal..","Again. No discussion is allowed. No criticism is allowed. Just cover your ears with your fingers and sing. To avoid hearing about the impending disaster, to avoid hearing the truth about the quality of this project. Goodbye..."
"Abstinence is the best way to keep from the dangers online! If you can't resist the urge, at least put a condom over your network cable before plugging it in!","Pantang adalah cara terbaik untuk menjaga diri dari bahaya online! Jika Anda tidak bisa menahan dorongan, setidaknya pasang kondom di kabel jaringan Anda sebelum menyambungkannya!","Abstinence is the best way to protect yourself from online dangers! If you can't resist the urge, at least put a condom on your network cable before connecting it!"
"I get that you're trying to be helpful... but you're not trying very hard. It's obvious most of this list is bullshit,",Saya mengerti bahwa kamu sedang berusaha untuk membantu... tapi kamu tidak berusaha cukup keras. Jelas sebagian besar dari daftar ini adalah omong kosong.,"I understand that you are trying to help... but you're not trying hard enough. Clearly, most of this list is nonsense..."
"wow, you are totally right. Why not just fucking drop all the checks and CI tools then if everyone here is a genius that make reliable code 100% of time? Common Lessaire, you can't be that stupid. It's a shock that just yesterday I was talking how intelligent you are. I guess you weren't taught about safe programming at university....","Wow, kamu benar-benar benar. Kenapa tidak langsung aja menjatuhkan semua cek dan alat CI jika semua orang di sini adalah jenius yang membuat kode yang dapat diandalkan 100% dari waktu? Biasa Lessaire, kamu tidak bisa begitu bodoh. Sungguh mengejutkan bahwa baru kemarin saya berbicara betapa pintarnya kamu. Saya rasa kamu tidak diajarkan tentang pemrograman yang aman di universitas.....","Wow, you're really right. Why not just drop all the checks and CI tools if everyone here is a genius who makes 100% reliable code all the time? Typical Lessaire, you can't be that dumb. It's surprising that just yesterday I was talking about how smart you are. I guess you weren't taught about safe programming at university..."
"What duplicates? Fix the fucking bugs, it's not even duplicated it's a new freaking thread you dumb fuck","Duplikat apa? Perbaiki bug sialan itu, itu bahkan bukan duplikat, itulah thread baru yang menjengkelkan, sialan bodoh.","What duplicate? Fix that damn bug, it's not even a duplicate, that's the annoying new thread, stupid damn.."
Our jumpsuits look like shit. (I know this one isn't used for assistants anymore but it still looks like garbage.),"Jumpsuit kami terlihat seperti sampah. (Aku tahu ini tidak digunakan lagi untuk asisten, tetapi itu masih terlihat seperti sampah.).","Our jumpsuit looks like garbage. (I know this is no longer used for assistants, but it still looks like garbage.)"
"As a software engineer, I・・m appalled at the quality of this code and the role its played in public policy. The deficits in testing and quality assurance need to be immediately spoken for to assure the claims made by its data are valid.","Sebagai seorang insinyur perangkat lunak, saya sangat terkejut dengan kualitas kode ini dan peran yang dimainkannya dalam kebijakan publik. Kekurangan dalam pengujian dan jaminan kualitas perlu segera diungkapkan untuk memastikan klaim yang dibuat oleh data tersebut valid.","As a software engineer, I am very surprised by the quality of this code and the role it plays in public policy. Deficiencies in testing and quality assurance need to be immediately disclosed to ensure the claims made by the data are valid."
He is a cancer to open source and it is only a matter of time before Microsoft cracks down on this thing.,Dia adalah kanker bagi open source dan hanyalah masalah waktu sebelum Microsoft menindak hal ini.,He is a cancer to open source and it's only a matter of time before Microsoft addresses this.
"Of course there is, you just had to solve one of the 30 last exact same issue. #745 is not even solve and it's 2018. Hello There.","Tentu saja ada, kamu hanya perlu menyelesaikan salah satu dari 30 masalah yang sama persis sebelumnya. #745 bahkan belum diselesaikan dan ini sudah 2018. Halo di sana..","Of course there is, you just need to solve one of the 30 identical problems before. #745 hasn't even been finished yet and this is already 2018. Hello there..."
"I hope you take this with a grain of salt at some point. For the web components work, as any other standards work, we need to exercise some diplomacy and try to get a positive path to something we want to solve. While I might understand the frustration within the lack of a feature there are some points in this thread that are just not constructive. A different approach would be much more helpful to your case, if your goal is to have the proposed feature available.","Saya berharap Anda menganggap ini sebagai sesuatu yang remeh di suatu titik. Untuk pekerjaan komponen web, seperti pekerjaan standar lainnya, kita perlu melakukan beberapa diplomasi dan mencoba mendapatkan jalan positif untuk sesuatu yang ingin kita selesaikan. Meskipun saya mungkin memahami frustrasi dalam kurangnya fitur, ada beberapa poin dalam thread ini yang sama sekali tidak konstruktif. Pendekatan yang berbeda akan lebih membantu kasus Anda, jika tujuan Anda adalah memiliki fitur yang diusulkan tersedia.","I hope you see this as something minor at some point. For web component work, like any other standard work, we need to do some diplomacy and try to find a positive way for something we want to finish. Although I may understand the frustration in the lack of features, there are some points in this thread that are not constructive at all. A different approach would be more helpful for your case, if your goal is to have a proposed feature available."
"So as for being warn, i return you the compliment. You are the one who's suppose to help here, your opinion is as irrelevant as you without arguments.","Jadi soal peringatan, saya membalas pujian Anda. Anda adalah orang yang seharusnya membantu di sini, pendapat Anda sama tidak relevannya dengan Anda tanpa argumen.","So about the warning, I respond to your praise. You are the person who should be helping here, your opinion is as irrelevant as you without argument."
You're a disgrace.,Kamu adalah aib.,You are a disgrace..
"Again, this post violates the code of conduct. Please refrain from making comments like this. It・・s not acceptable. You・・ve been warned twice now.","Lagi, posting ini melanggar kode etik. Tolong hindari membuat komentar seperti ini. Ini tidak dapat diterima. Anda sudah diberi peringatan dua kali sekarang.","Again, this post violates the code of ethics. Please avoid making comments like this. This is unacceptable. You have been given a warning twice now."
